probe,ke,target,meanhA,meanErrhA,stdhA,stdErrhA,meannhN,meanErrhN,stdhN,stdErrhN,meanINCL,meanErrINCL,stdINCL,stdErrINCL,meanGeant4,meanErrGeant4,stdGeant4,stdErrGeant4
2112,0.075,1000060120,-0.442089,2.09295,2.05372,1.56815,-0.498228,1.55441,1.55249,1.09661,-0.275993,0.71848,0.718385,0.502683,-0.27095,0.768235,0.768214,0.537934
2112,0.125,1000060120,-0.444811,2.09541,2.05511,1.57035,-0.493263,1.57124,1.56904,1.11031,-0.268864,0.768218,0.768199,0.537755,-0.396296,0.69214,0.691302,0.479916
2112,0.175,1000060120,-0.475835,2.08546,2.04541,1.56079,-0.513515,1.5593,1.55724,1.10114,-0.263964,0.796387,0.796381,0.557689,-0.41784,0.681705,0.680536,0.470997
2112,0.225,1000060120,-0.4557,2.0218,1.99141,1.49911,-0.513716,1.53529,1.53345,1.08308,-0.293039,0.786968,0.786943,0.551017,-0.418742,0.695672,0.694827,0.482313
2112,0.275,1000060120,-0.486481,2.11194,2.06847,1.58998,-0.506862,1.54331,1.54154,1.0889,-0.298595,0.787918,0.787891,0.551687,-0.432544,0.672715,0.671208,0.46318
2112,0.325,1000060120,-0.468191,2.10817,2.06489,1.58315,-0.511888,1.57261,1.57012,1.11156,-0.32686,0.80353,0.803503,0.56262,-0.423677,0.702232,0.701497,0.487462
2112,0.375,1000060120,-0.500116,2.08267,2.04114,1.55784,-0.506551,1.56597,1.56382,1.10359,-0.318932,0.806278,0.806254,0.564584,-0.432256,0.706599,0.70592,0.490774
2112,0.425,1000060120,-0.433131,2.11137,2.06826,1.58611,-0.506404,1.52064,1.5192,1.06961,-0.337166,0.797092,0.797055,0.558056,-0.425029,0.702341,0.701606,0.487564
2112,0.475,1000060120,-0.408747,2.09521,2.05616,1.57008,-0.521005,1.58729,1.58465,1.12285,-0.359385,0.794638,0.79459,0.556271,-0.434145,0.726829,0.726413,0.506328
2112,0.525,1000060120,-0.402419,2.11815,2.07585,1.59287,-0.489581,1.55193,1.55008,1.09527,-0.364526,0.793357,0.793304,0.555432,-0.43729,0.692517,0.691555,0.479543
2112,0.575,1000060120,-0.437522,2.11863,2.07405,1.59589,-0.463437,1.5518,1.54984,1.09324,-0.362449,0.802423,0.802383,0.561872,-0.412761,0.688027,0.687036,0.476368
