probe,ke,target,meanhA,meanErrhA,stdhA,stdErrhA,meannhN,meanErrhN,stdhN,stdErrhN,meanINCL,meanErrINCL,stdINCL,stdErrINCL,meanGeant4,meanErrGeant4,stdGeant4,stdErrGeant4
2112,0.075,1000060120,-0.271952,2.06718,2.03484,1.54116,-0.429805,1.55275,1.55106,1.0955,0.0797788,1.03108,1.03108,0.721947,-0.144928,1.06264,1.06264,0.743612
2112,0.125,1000060120,-0.355285,2.0659,2.03199,1.54157,-0.428488,1.57143,1.56944,1.10974,-0.0476982,1.07538,1.07538,0.752923,-0.417181,1.06465,1.06465,0.745684
2112,0.175,1000060120,-0.41016,2.10394,2.06336,1.57998,-0.471331,1.55778,1.55589,1.09952,-0.0828502,1.0985,1.0985,0.769388,-0.476745,1.12253,1.12252,0.785936
2112,0.225,1000060120,-0.422057,2.01242,1.9835,1.48856,-0.464536,1.53795,1.53639,1.08461,-0.115869,1.06962,1.06962,0.749283,-0.462118,1.08877,1.08877,0.762493
2112,0.275,1000060120,-0.45292,2.09992,2.05876,1.57495,-0.450977,1.5384,1.53688,1.08211,-0.156257,1.08601,1.08601,0.760758,-0.4488,1.1088,1.10879,0.776579
2112,0.325,1000060120,-0.446958,2.11248,2.06966,1.58778,-0.491274,1.5963,1.59341,1.12672,-0.214468,1.09457,1.09457,0.765065,-0.466593,1.14097,1.14096,0.799122
2112,0.375,1000060120,-0.478866,2.09489,2.05278,1.57223,-0.475952,1.57733,1.57508,1.11245,-0.218881,1.07524,1.07524,0.751739,-0.478535,1.13978,1.13977,0.798268
2112,0.425,1000060120,-0.414451,2.11845,2.07535,1.59305,-0.493104,1.52508,1.52362,1.07516,-0.240861,1.06853,1.06853,0.747099,-0.438367,1.15134,1.15134,0.806466
2112,0.475,1000060120,-0.378051,2.10312,2.06375,1.58104,-0.511865,1.56286,1.56074,1.10408,-0.29621,1.0882,1.0882,0.760932,-0.453797,1.12825,1.12825,0.790257
2112,0.525,1000060120,-0.389601,2.11609,2.07453,1.59297,-0.455451,1.535,1.53351,1.0823,-0.271962,1.06777,1.06777,0.747301,-0.454393,1.14251,1.1425,0.800266
2112,0.575,1000060120,-0.431338,2.13124,2.08464,1.60586,-0.466442,1.5639,1.56172,1.10201,-0.294427,1.0837,1.0837,0.758461,-0.46484,1.13782,1.13782,0.797065
2112,0.625,1000060120,-0.396364,2.128,2.08415,1.60305,-0.445753,1.55527,1.55308,1.09754,-0.305612,1.07137,1.07137,0.75009,-0.441959,1.1173,1.1173,0.782614
2112,0.675,1000060120,-0.411804,2.09543,2.05591,1.57019,-0.50284,1.5699,1.56747,1.10657,-0.319461,1.05977,1.05976,0.742026,-0.390231,1.13255,1.13255,0.793313
2112,0.725,1000060120,-0.387079,2.1877,2.13503,1.66732,-0.542231,1.54855,1.54613,1.09118,-0.334035,1.07193,1.07193,0.750549,-0.360441,1.12757,1.12757,0.789814
2112,0.775,1000060120,-0.447885,2.1553,2.10598,1.63167,-0.48763,1.542,1.54032,1.08538,-0.334677,1.05263,1.05263,0.736833,-0.378427,1.08861,1.08861,0.762562
2112,0.825,1000060120,-0.442023,2.1305,2.0846,1.60866,-0.52165,1.52753,1.52596,1.07516,-0.340838,1.0517,1.0517,0.73654,-0.404199,1.10843,1.10843,0.776415
2112,0.875,1000060120,-0.475309,2.11834,2.07399,1.59662,-0.523798,1.56165,1.55952,1.10097,-0.321538,1.05836,1.05836,0.741129,-0.366576,1.1235,1.1235,0.786973
2112,0.925,1000060120,-0.460246,2.1141,2.07038,1.5919,-0.519356,1.51704,1.51562,1.06936,-0.361232,1.04294,1.04294,0.730223,-0.407774,1.1346,1.1346,0.79474
2112,0.975,1000060120,-0.465379,2.10908,2.06671,1.58717,-0.497647,1.53337,1.53178,1.07888,-0.349329,1.04903,1.04903,0.734469,-0.381925,1.10659,1.10659,0.77511
2112,1.025,1000060120,-0.453699,2.0877,2.04803,1.56257,-0.490193,1.57134,1.56915,1.10754,-0.341108,1.03891,1.03891,0.727413,-0.336626,1.08288,1.08288,0.758504
2112,1.075,1000060120,-0.547929,2.09845,2.05431,1.57764,-0.496033,1.54927,1.54744,1.09176,-0.346489,1.04411,1.04411,0.73111,-0.371517,1.0918,1.0918,0.764787
2112,1.125,1000060120,-0.446287,2.12932,2.08319,1.60644,-0.496301,1.54753,1.54573,1.09015,-0.338858,1.03315,1.03315,0.723403,-0.392613,1.10979,1.10978,0.777356
2112,1.175,1000060120,-0.449868,2.07092,2.03231,1.54559,-0.453427,1.54349,1.54188,1.08628,-0.337857,1.03578,1.03578,0.725315,-0.327023,1.10926,1.10926,0.777038
2112,1.225,1000060120,-0.412638,2.07654,2.03897,1.55131,-0.464423,1.55077,1.54902,1.09169,-0.339461,1.0199,1.0199,0.714196,-0.350537,1.08486,1.08486,0.759879
2112,1.275,1000060120,-0.497197,2.14504,2.09535,1.62409,-0.482751,1.52793,1.52647,1.0751,-0.348742,1.03613,1.03613,0.725237,-0.454505,1.06447,1.06447,0.745634
2112,1.325,1000060120,-0.456223,2.13771,2.08984,1.61321,-0.479914,1.54,1.53803,1.08385,-0.358426,1.0264,1.0264,0.718775,-0.372882,1.08961,1.08961,0.763105
2112,1.375,1000060120,-0.539667,2.09742,2.05368,1.57645,-0.526308,1.50093,1.49969,1.05733,-0.343565,1.00436,1.00436,0.703303,-0.41527,1.06086,1.06086,0.743066
2112,1.425,1000060120,-0.449135,2.13225,2.08617,1.60723,-0.493312,1.48657,1.48556,1.04635,-0.338419,1.04493,1.04493,0.731867,-0.350306,1.08897,1.08897,0.762788
