probe,ke,target,consthA,constErrhA,slopehA,slopeErrhA,consthN,constErrhN,slopehN,slopeErrhN,constINCL,constErrINCL,slopeINCL,slopeErrINCL,constGeant4,constErrGeant4,slopeGeant4,slopeErrGeant4
2112,0.075,1000060120,0.177666,0.323958,0.128944,0.411591,0.447979,0.682361,0.437623,0.535557,1.93175,3.30616,1.71405,1.9305,1.48327,2.36707,1.37352,1.48359
2112,0.125,1000060120,0.1855,0.334645,0.13985,0.41319,0.389749,0.60454,0.377194,0.499266,1.24539,1.92451,1.17682,1.24716,0.983988,1.47731,0.948352,0.991414
2112,0.175,1000060120,0.186572,0.334926,0.143735,0.414112,0.40495,0.624481,0.394393,0.509387,1.01238,1.52446,0.973348,1.01843,0.800805,1.18772,0.780159,0.81891
2112,0.225,1000060120,0.197419,0.351615,0.158077,0.418078,0.4003,0.619597,0.390039,0.507662,0.884173,1.31732,0.857392,0.896235,0.713041,1.05524,0.697796,0.740839
2112,0.275,1000060120,0.198089,0.351594,0.161957,0.419638,0.390618,0.606358,0.379245,0.501137,0.80448,1.19344,0.783583,0.822312,0.662653,0.981545,0.649301,0.697358
2112,0.325,1000060120,0.198059,0.351701,0.156697,0.416048,0.389802,0.604881,0.377726,0.499863,0.758931,1.12414,0.740954,0.781198,0.626359,0.931063,0.612282,0.665781
2112,0.375,1000060120,0.215438,0.375544,0.181692,0.422836,0.384318,0.597658,0.37255,0.497237,0.736194,1.09005,0.719457,0.760958,0.610281,0.906318,0.598704,0.654284
2112,0.425,1000060120,0.20039,0.353866,0.159693,0.415804,0.401463,0.619737,0.391308,0.507748,0.687878,1.01851,0.67346,0.718841,0.56071,0.836369,0.550163,0.615278
2112,0.475,1000060120,0.209264,0.365586,0.172254,0.418713,0.382193,0.595473,0.371641,0.497529,0.657569,0.974205,0.644433,0.693149,0.531246,0.795543,0.521197,0.593327
2112,0.525,1000060120,0.211388,0.368057,0.175526,0.419417,0.384274,0.597806,0.372358,0.49718,0.618848,0.918473,0.606871,0.66103,0.480499,0.724601,0.47066,0.556684
2112,0.575,1000060120,0.214938,0.374397,0.179732,0.421376,0.371379,0.581289,0.359506,0.490813,0.58589,0.872127,0.574162,0.634234,0.454006,0.690993,0.444786,0.540723
2112,0.625,1000060120,0.22267,0.384519,0.190383,0.424176,0.357585,0.563323,0.345158,0.483648,0.555823,0.82932,0.544989,0.611091,0.422042,0.647434,0.41078,0.51869
2112,0.675,1000060120,0.222005,0.383291,0.188633,0.423054,0.334194,0.531874,0.318764,0.470046,0.53533,0.800811,0.524532,0.59546,0.410866,0.633403,0.400863,0.513756
2112,0.725,1000060120,0.242409,0.41166,0.215037,0.431558,0.341474,0.542131,0.327998,0.475287,0.517127,0.77458,0.507275,0.582501,0.374772,0.58565,0.3632,0.492733
2112,0.775,1000060120,0.219199,0.37941,0.183922,0.421246,0.327303,0.523351,0.312287,0.467769,0.506419,0.760774,0.495572,0.574118,0.373149,0.583965,0.362369,0.492848
2112,0.825,1000060120,0.229641,0.393276,0.198981,0.425946,0.311219,0.502134,0.29477,0.460109,0.496999,0.743741,0.486049,0.56608,0.359318,0.565502,0.34691,0.484428
2112,0.875,1000060120,0.240886,0.409744,0.212961,0.430922,0.327465,0.523699,0.312758,0.468173,0.494927,0.740349,0.484038,0.565109,0.37312,0.584866,0.364203,0.494983
2112,0.925,1000060120,0.237698,0.405883,0.210272,0.430981,0.324946,0.520821,0.310901,0.467929,0.480759,0.724527,0.470527,0.556299,0.345581,0.548309,0.334191,0.479347
2112,0.975,1000060120,0.231983,0.39852,0.203473,0.42939,0.315026,0.508074,0.298943,0.462396,0.475895,0.719099,0.464436,0.552285,0.360855,0.568729,0.350991,0.488047
2112,1.025,1000060120,0.238791,0.406429,0.209304,0.429003,0.319955,0.514129,0.30509,0.465134,0.46207,0.700441,0.450479,0.543009,0.348677,0.552134,0.337049,0.480428
2112,1.075,1000060120,0.252491,0.424686,0.227885,0.435549,0.303167,0.492573,0.287648,0.458472,0.465418,0.704896,0.453768,0.545118,0.326631,0.523861,0.314619,0.4708
2112,1.125,1000060120,0.238655,0.406553,0.209916,0.429749,0.317571,0.512046,0.304726,0.466478,0.450532,0.683485,0.439504,0.535497,0.323144,0.519542,0.311357,0.469697
2112,1.175,1000060120,0.2577,0.430674,0.23123,0.434735,0.319507,0.514087,0.305777,0.466217,0.461983,0.700339,0.450415,0.542982,0.317954,0.512728,0.305629,0.467154
2112,1.225,1000060120,0.238017,0.4058,0.209361,0.429761,0.308656,0.49991,0.294382,0.461603,0.456183,0.690991,0.445508,0.539423,0.352378,0.558943,0.345065,0.486974
2112,1.275,1000060120,0.252599,0.424275,0.226683,0.434202,0.324009,0.520977,0.312853,0.470772,0.457431,0.693984,0.445618,0.539692,0.354471,0.561769,0.347469,0.488278
2112,1.325,1000060120,0.259162,0.432958,0.233277,0.435765,0.331761,0.531227,0.3215,0.474823,0.45513,0.690845,0.443115,0.537996,0.335282,0.535317,0.324114,0.475251
2112,1.375,1000060120,0.264784,0.44199,0.243673,0.44193,0.326711,0.523495,0.313613,0.46966,0.459583,0.696929,0.447671,0.541008,0.353982,0.560419,0.345487,0.486351
2112,1.425,1000060120,0.260837,0.436318,0.236948,0.438456,0.334585,0.534875,0.324268,0.475954,0.453503,0.688498,0.441892,0.537278,0.360595,0.569604,0.353177,0.490729
2112,1.475,1000060120,0.271535,0.451222,0.250997,0.444403,0.318393,0.51345,0.306341,0.467656,0.450599,0.683624,0.439571,0.535563,0.357511,0.566055,0.350907,0.490232
2112,1.525,1000060120,0.269973,0.447791,0.247583,0.441658,0.332038,0.531425,0.321453,0.474571,0.466393,0.706385,0.455046,0.546134,0.365589,0.575556,0.357218,0.492006
2112,1.575,1000060120,0.264237,0.440533,0.241168,0.439786,0.327271,0.525094,0.316076,0.471995,0.449693,0.68229,0.439111,0.535369,0.3698,0.582182,0.364044,0.49702
2112,1.625,1000060120,0.283545,0.46575,0.263223,0.447339,0.319503,0.513864,0.305303,0.465698,0.45935,0.696898,0.447922,0.541455,0.359843,0.568756,0.352653,0.490642
2112,1.675,1000060120,0.263929,0.439447,0.239125,0.437922,0.321321,0.516812,0.308525,0.467927,0.456534,0.693004,0.444935,0.539425,0.359568,0.569652,0.354902,0.493424
2112,1.725,1000060120,0.263522,0.43885,0.238471,0.437587,0.325933,0.521685,0.311066,0.467401,0.465136,0.704705,0.453801,0.545326,0.362663,0.57177,0.354235,0.49055
2112,1.775,1000060120,0.26923,0.446427,0.245711,0.440326,0.343239,0.545515,0.332141,0.478708,0.463068,0.701818,0.451535,0.543734,0.349778,0.555673,0.342554,0.485916
2112,1.825,1000060120,0.269805,0.447152,0.246351,0.440513,0.353021,0.558137,0.342274,0.483392,0.485298,0.731565,0.47485,0.559562,0.362544,0.57285,0.356595,0.49335
2112,1.875,1000060120,0.279353,0.459652,0.257984,0.444867,0.347328,0.550124,0.334996,0.479084,0.481832,0.726467,0.471428,0.557068,0.381418,0.597728,0.376488,0.503869
2112,1.925,1000060120,0.243707,0.412075,0.213181,0.428547,0.343679,0.54568,0.331762,0.477974,0.476784,0.718819,0.467227,0.554142,0.398886,0.621437,0.395631,0.515181
2112,1.975,1000060120,0.282866,0.465173,0.263189,0.447837,0.349005,0.554366,0.341034,0.484758,0.462716,0.701451,0.451361,0.543726,0.391475,0.612494,0.391314,0.514423
2112,2.025,1000060120,0.272859,0.452199,0.250701,0.443015,0.349036,0.554062,0.340356,0.483966,0.476167,0.719474,0.464714,0.552479,0.414828,0.641776,0.410528,0.522898
2112,0.075,1000080160,0.154583,0.264051,0.130152,0.289891,0.464255,0.676307,0.459946,0.486951,2.62932,5.07269,2.17478,2.62724,1.14174,1.75101,1.0874,1.14599
2112,0.125,1000080160,0.160434,0.271998,0.13832,0.29256,0.419121,0.614284,0.414949,0.449487,1.55596,2.50863,1.43217,1.55646,0.885712,1.31075,0.861219,0.888274
2112,0.175,1000080160,0.155949,0.266192,0.132658,0.291135,0.387263,0.570775,0.383176,0.424534,1.17238,1.79412,1.11382,1.17187,0.732957,1.07285,0.716581,0.73475
2112,0.225,1000080160,0.1639,0.277246,0.142786,0.294332,0.382193,0.564132,0.377777,0.420434,1.01412,1.52269,0.975536,1.01446,0.689988,1.00648,0.676953,0.693871
2112,0.275,1000080160,0.161984,0.274549,0.137762,0.291595,0.379017,0.55987,0.3745,0.417955,0.928039,1.38133,0.897354,0.927996,0.631182,0.922597,0.620984,0.637739
2112,0.325,1000080160,0.166389,0.280869,0.144697,0.294567,0.364044,0.53967,0.360073,0.40749,0.877776,1.29964,0.852225,0.878796,0.605103,0.87797,0.597836,0.614553
2112,0.375,1000080160,0.172065,0.287912,0.152472,0.296975,0.367877,0.544791,0.363668,0.410018,0.799701,1.17601,0.779817,0.801166,0.558314,0.810874,0.550985,0.569485
2112,0.425,1000080160,0.178508,0.296697,0.159676,0.299202,0.356091,0.528807,0.351707,0.401281,0.755966,1.10792,0.738755,0.757853,0.539666,0.784005,0.533024,0.552675
2112,0.475,1000080160,0.174278,0.290461,0.154006,0.2967,0.348874,0.519512,0.34419,0.396044,0.733725,1.07295,0.718704,0.736889,0.488784,0.711329,0.483167,0.507209
2112,0.525,1000080160,0.182676,0.301841,0.164409,0.300461,0.333545,0.498981,0.328167,0.384834,0.676745,0.986509,0.66434,0.681054,0.464739,0.677003,0.460514,0.487464
2112,0.575,1000080160,0.180626,0.29967,0.163203,0.300924,0.326625,0.490089,0.321771,0.380901,0.646439,0.940933,0.635513,0.651982,0.430596,0.629752,0.425977,0.458222
2112,0.625,1000080160,0.18249,0.301868,0.164668,0.300927,0.313697,0.472603,0.307971,0.371575,0.612288,0.889538,0.603567,0.620246,0.404202,0.593528,0.40054,0.437992
2112,0.675,1000080160,0.18837,0.308088,0.171301,0.3031,0.291793,0.444149,0.285619,0.358044,0.586439,0.851847,0.578253,0.595596,0.377487,0.557603,0.372766,0.416509
2112,0.725,1000080160,0.186046,0.306168,0.168286,0.301683,0.28738,0.438506,0.281014,0.355385,0.563121,0.817956,0.555551,0.573843,0.348687,0.518726,0.343303,0.394971
2112,0.775,1000080160,0.191989,0.31447,0.175659,0.30479,0.274335,0.421387,0.266912,0.347126,0.560831,0.814662,0.553297,0.571705,0.355144,0.527371,0.349579,0.39932
2112,0.825,1000080160,0.205939,0.332755,0.19231,0.311429,0.26658,0.411757,0.259603,0.343652,0.529426,0.769208,0.523154,0.543517,0.337983,0.504369,0.332555,0.387544
2112,0.875,1000080160,0.205001,0.331388,0.190852,0.310604,0.261229,0.403653,0.253838,0.339976,0.525017,0.762944,0.518682,0.539369,0.33025,0.494254,0.324194,0.381812
