probe,ke,target,consthA,constErrhA,slopehA,slopeErrhA,consthN,constErrhN,slopehN,slopeErrhN,constINCL,constErrINCL,slopeINCL,slopeErrINCL,constGeant4,constErrGeant4,slopeGeant4,slopeErrGeant4
2112,0.075,1000060120,0.284673,0.463296,0.255553,0.438348,0.578873,0.861878,0.569925,0.63145,1.08699,1.64953,1.04008,1.09184,1.10392,1.67464,1.058,1.11094
2112,0.125,1000060120,0.240666,0.404133,0.202487,0.419658,0.49485,0.740783,0.484721,0.565994,0.635358,0.942802,0.623867,0.675919,0.87235,1.29867,0.846597,0.885228
2112,0.175,1000060120,0.215764,0.371232,0.170677,0.411258,0.490597,0.740148,0.480628,0.564292,0.471575,0.715559,0.46395,0.554214,0.765567,1.13348,0.747961,0.787802
2112,0.225,1000060120,0.215619,0.371732,0.172194,0.412923,0.473684,0.717435,0.464418,0.553565,0.404664,0.627191,0.398399,0.514699,0.703983,1.0427,0.689511,0.733708
2112,0.275,1000060120,0.211168,0.365178,0.167913,0.413406,0.462534,0.702092,0.452681,0.545477,0.376769,0.590452,0.369583,0.498828,0.669372,0.991848,0.65628,0.70386
2112,0.325,1000060120,0.210584,0.364228,0.166642,0.41283,0.455916,0.696317,0.445745,0.541193,0.352196,0.560047,0.347535,0.48997,0.586223,0.874619,0.57576,0.636687
2112,0.375,1000060120,0.220012,0.378536,0.180854,0.417112,0.449846,0.68469,0.440925,0.538058,0.321889,0.520948,0.316472,0.476372,0.574969,0.857869,0.566275,0.629175
2112,0.425,1000060120,0.207572,0.36082,0.163564,0.412749,0.461682,0.700771,0.451519,0.54454,0.307291,0.503134,0.302167,0.471694,0.527166,0.791325,0.519354,0.593229
2112,0.475,1000060120,0.215823,0.37342,0.175972,0.416523,0.438408,0.669801,0.428387,0.53002,0.283463,0.471442,0.275864,0.461216,0.483145,0.733541,0.479662,0.567225
2112,0.525,1000060120,0.216375,0.374232,0.176851,0.416866,0.444811,0.67811,0.434404,0.533513,0.260341,0.441634,0.251828,0.45441,0.443423,0.68052,0.441682,0.543014
2112,0.575,1000060120,0.217947,0.376519,0.179303,0.417792,0.426454,0.654206,0.4166,0.523079,0.235747,0.408867,0.227468,0.449374,0.425082,0.656995,0.424649,0.533437
2112,0.625,1000060120,0.226122,0.38764,0.191763,0.422044,0.409738,0.624862,0.399736,0.511203,0.228916,0.401182,0.220218,0.448985,0.370147,0.583388,0.365815,0.49888
2112,0.675,1000060120,0.224037,0.384467,0.187888,0.420179,0.381444,0.59389,0.369192,0.495304,0.212191,0.378615,0.200895,0.445032,0.358715,0.567233,0.3513,0.489888
2112,0.725,1000060120,0.246097,0.415169,0.216687,0.429818,0.391861,0.608361,0.381146,0.502585,0.207836,0.37249,0.194928,0.443307,0.319737,0.516658,0.31097,0.471797
2112,0.775,1000060120,0.223092,0.383407,0.187011,0.420252,0.369636,0.578706,0.357097,0.489198,0.207266,0.372596,0.196336,0.445484,0.321585,0.521396,0.317982,0.478294
2112,0.825,1000060120,0.233771,0.398917,0.200981,0.425106,0.352537,0.556104,0.338873,0.479877,0.203922,0.368732,0.193308,0.446095,0.309861,0.505978,0.306632,0.473991
2112,0.875,1000060120,0.242301,0.410608,0.212147,0.428823,0.370847,0.580724,0.359212,0.490827,0.197455,0.359775,0.183386,0.443158,0.307983,0.50246,0.299436,0.468126
2112,0.925,1000060120,0.238829,0.40655,0.209533,0.429201,0.364657,0.571923,0.351332,0.485919,0.194557,0.356946,0.184094,0.446845,0.282065,0.468965,0.27338,0.459491
2112,0.975,1000060120,0.231266,0.395125,0.200599,0.425969,0.356053,0.560983,0.343223,0.482399,0.195625,0.357935,0.183799,0.445406,0.299422,0.492822,0.295296,0.469702
2112,1.025,1000060120,0.240669,0.408396,0.20944,0.427677,0.35807,0.563438,0.344617,0.482707,0.193265,0.356599,0.187046,0.451326,0.294931,0.485383,0.286461,0.463561
2112,1.075,1000060120,0.253142,0.424722,0.226658,0.433712,0.341269,0.541905,0.327867,0.475282,0.190863,0.353861,0.181929,0.449729,0.279695,0.468557,0.276483,0.464987
2112,1.125,1000060120,0.237379,0.403714,0.20556,0.426434,0.3508,0.554393,0.338164,0.480266,0.192885,0.356117,0.184147,0.449403,0.277959,0.464415,0.271076,0.460262
2112,1.175,1000060120,0.258767,0.431495,0.230963,0.433589,0.356455,0.562662,0.345623,0.484944,0.192286,0.355462,0.183886,0.449815,0.263354,0.446744,0.256928,0.457593
2112,1.225,1000060120,0.240774,0.40928,0.211841,0.429927,0.345567,0.547946,0.333365,0.478466,0.193256,0.35578,0.184699,0.44884,0.291909,0.48412,0.289321,0.469109
2112,1.275,1000060120,0.255294,0.427681,0.229275,0.434636,0.361285,0.569059,0.350887,0.487675,0.195494,0.358858,0.186803,0.448727,0.294487,0.486031,0.288851,0.466523
2112,1.325,1000060120,0.260494,0.43448,0.233912,0.435401,0.368352,0.578583,0.358838,0.492056,0.19056,0.352865,0.179863,0.447894,0.270963,0.454873,0.262543,0.456775
2112,1.375,1000060120,0.264422,0.44084,0.241551,0.440029,0.365438,0.574168,0.354606,0.489138,0.198987,0.364385,0.19207,0.450735,0.299367,0.492385,0.294389,0.468744
2112,1.425,1000060120,0.26313,0.438714,0.238926,0.438387,0.371861,0.583545,0.363447,0.494985,0.199583,0.366577,0.196783,0.455094,0.285836,0.475417,0.280912,0.464716
2112,1.475,1000060120,0.272839,0.452553,0.251627,0.443994,0.35474,0.559989,0.343299,0.483379,0.201785,0.369944,0.200118,0.456321,0.28222,0.473172,0.282702,0.469672
2112,1.525,1000060120,0.269843,0.447167,0.246315,0.440444,0.371048,0.582009,0.361655,0.493457,0.211578,0.382407,0.211809,0.457635,0.307544,0.504363,0.306607,0.475911
2112,1.575,1000060120,0.264873,0.441054,0.241173,0.439256,0.366544,0.576071,0.356668,0.490766,0.200905,0.367749,0.195982,0.45293,0.301836,0.499356,0.304957,0.47877
2112,1.625,1000060120,0.284723,0.466908,0.263652,0.446872,0.350236,0.553614,0.337472,0.479873,0.210575,0.380932,0.210436,0.457181,0.299027,0.494468,0.298202,0.473647
2112,1.675,1000060120,0.263364,0.438624,0.236339,0.435999,0.364666,0.572865,0.353209,0.488055,0.211331,0.382567,0.2128,0.458997,0.306941,0.50538,0.311724,0.481715
2112,1.725,1000060120,0.264898,0.440488,0.239739,0.437746,0.365397,0.57347,0.353272,0.487637,0.224095,0.399655,0.226408,0.460782,0.28479,0.472062,0.274746,0.458919
2112,1.775,1000060120,0.270241,0.447566,0.24651,0.440316,0.390931,0.608365,0.382549,0.504826,0.205658,0.374344,0.204136,0.455875,0.26903,0.452522,0.259352,0.455336
2112,1.825,1000060120,0.271121,0.44941,0.247197,0.440827,0.399007,0.618823,0.390463,0.508988,0.215257,0.387144,0.213767,0.456353,0.287719,0.478918,0.285254,0.468013
2112,1.875,1000060120,0.28042,0.460646,0.258562,0.444553,0.391245,0.607807,0.381006,0.502815,0.220645,0.394774,0.220844,0.458498,0.331939,0.540204,0.340034,0.495913
2112,1.925,1000060120,0.245335,0.414012,0.215089,0.428934,0.38813,0.60438,0.379156,0.502637,0.216437,0.388837,0.214446,0.456126,0.327541,0.533499,0.333394,0.491496
