probe,ke,target,consthA,constErrhA,slopehA,slopeErrhA,consthN,constErrhN,slopehN,slopeErrhN,constINCL,constErrINCL,slopeINCL,slopeErrINCL,constGeant4,constErrGeant4,slopeGeant4,slopeErrGeant4
2112,0.075,1000060120,0.284673,0.463296,0.255553,0.438348,0.578873,0.861878,0.569925,0.63145,3.89714,9.3641,2.84154,3.89064,2.68326,5.2241,2.20794,2.68126
2112,0.125,1000060120,0.240666,0.404133,0.202487,0.419658,0.49485,0.740783,0.484721,0.565994,2.00893,3.48263,1.76909,2.00778,1.50976,2.41633,1.39688,1.51199
2112,0.175,1000060120,0.215764,0.371232,0.170677,0.411258,0.490597,0.740148,0.480628,0.564292,1.49157,2.38259,1.38079,1.49248,1.16297,1.77834,1.10719,1.16683
2112,0.225,1000060120,0.215619,0.371732,0.172194,0.412923,0.473684,0.717435,0.464418,0.553565,1.20893,1.86025,1.14527,1.21075,0.981335,1.47198,0.947209,0.990093
2112,0.275,1000060120,0.211168,0.365178,0.167913,0.413406,0.462534,0.702092,0.452681,0.545477,1.08618,1.64773,1.03896,1.09036,0.904869,1.3502,0.876257,0.915665
2112,0.325,1000060120,0.210584,0.364228,0.166642,0.41283,0.455916,0.696317,0.445745,0.541193,0.969932,1.45514,0.934991,0.977338,0.812647,1.20391,0.793519,0.831831
2112,0.375,1000060120,0.220012,0.378536,0.180854,0.417112,0.449846,0.68469,0.440925,0.538058,0.925396,1.38116,0.89701,0.936985,0.808432,1.19943,0.787366,0.82602
2112,0.425,1000060120,0.207572,0.36082,0.163564,0.412749,0.461682,0.700771,0.451519,0.54454,0.873343,1.30036,0.847368,0.886031,0.726602,1.075,0.712342,0.75455
2112,0.475,1000060120,0.215823,0.37342,0.175972,0.416523,0.438408,0.669801,0.428387,0.53002,0.829691,1.23207,0.807282,0.84568,0.642365,0.952632,0.630356,0.681292
2112,0.525,1000060120,0.216375,0.374232,0.176851,0.416866,0.444811,0.67811,0.434404,0.533513,0.759619,1.12466,0.742179,0.782306,0.589888,0.876243,0.580094,0.638967
2112,0.575,1000060120,0.217947,0.376519,0.179303,0.417792,0.426454,0.654206,0.4166,0.523079,0.696904,1.03164,0.682255,0.726758,0.558334,0.835181,0.551212,0.617969
2112,0.625,1000060120,0.226122,0.38764,0.191763,0.422044,0.409738,0.624862,0.399736,0.511203,0.672004,0.994155,0.659465,0.706255,0.506235,0.761474,0.497704,0.576764
2112,0.675,1000060120,0.224037,0.384467,0.187888,0.420179,0.381444,0.59389,0.369192,0.495304,0.628881,0.932775,0.616718,0.669324,0.474696,0.71746,0.467382,0.555612
