probe,ke,target,meanhA,meanErrhA,stdhA,stdErrhA,meannhN,meanErrhN,stdhN,stdErrhN,meanINCL,meanErrINCL,stdINCL,stdErrINCL,meanGeant4,meanErrGeant4,stdGeant4,stdErrGeant4
-211,0.075,1000060120,-1.40604,0.564941,0.549129,0.352156,-1.46058,1.14124,1.14102,0.800679,-1.10663,0.858796,0.858806,0.601525,-1.21769,0.716208,0.716318,0.502531
-211,0.125,1000060120,-1.35085,1.3552,1.3528,0.956575,-1.41708,1.13246,1.1323,0.794394,-1.19142,0.826805,0.826816,0.579328,-1.19462,0.748723,0.74881,0.525186
-211,0.175,1000060120,-1.23205,2.03395,1.96782,1.53704,-1.41321,1.22105,1.22031,0.856623,-1.22704,0.828511,0.828516,0.580422,-1.22511,0.741209,0.741257,0.519639
-211,0.225,1000060120,-1.10646,2.83701,2.54139,2.34602,-1.41189,1.27797,1.27685,0.899634,-1.26573,0.816935,0.816931,0.572198,-1.26905,0.705671,0.705574,0.492857
-211,0.275,1000060120,-1.08506,4.10916,3.21706,3.8527,-1.41993,1.25958,1.25842,0.885958,-1.28498,0.821175,0.821167,0.575169,-1.31071,0.707597,0.707324,0.493134
-211,0.325,1000060120,-0.907207,5.11395,3.71458,5.36012,-1.39807,1.29865,1.29729,0.915259,-1.27572,0.82966,0.829656,0.581089,-1.29885,0.707855,0.707634,0.493534
-211,0.375,1000060120,-0.709458,4.46452,3.47567,4.59913,-1.36157,1.37733,1.3742,0.974093,-1.29865,0.811175,0.81116,0.568046,-1.28467,0.709444,0.709287,0.496141
-211,0.425,1000060120,-0.792402,4.53073,3.48817,4.63398,-1.32386,1.37074,1.36846,0.968995,-1.28646,0.810763,0.810751,0.567785,-1.31528,0.677559,0.676958,0.470913
-211,0.475,1000060120,-0.783211,5.07236,3.73018,5.41487,-1.33376,1.43968,1.43548,1.02177,-1.28603,0.821544,0.821536,0.575469,-1.23121,0.764257,0.764277,0.535606
-211,0.525,1000060120,-0.372864,4.84097,3.71696,5.36282,-1.33887,1.39733,1.39433,0.989691,-1.32053,0.82252,0.822505,0.576053,-1.30103,0.718212,0.718031,0.502086
-211,0.575,1000060120,-0.0954582,4.96621,3.80086,5.64838,-1.32519,1.36239,1.35864,0.961952,-1.31504,0.806334,0.806312,0.564453,-1.30666,0.701294,0.700991,0.489603
-211,0.625,1000060120,-0.308119,4.72636,3.67138,5.20744,-1.09955,1.31357,1.31286,0.923492,-1.30099,0.785454,0.785423,0.550028,-1.24345,0.744136,0.744146,0.52136
-211,0.675,1000060120,0.136454,4.71406,3.68061,5.24283,-1.20079,1.30136,1.30054,0.915153,-1.26911,0.806536,0.806529,0.564951,-1.27042,0.717186,0.717107,0.501926
-211,0.725,1000060120,0.302999,4.84315,3.72488,5.39059,-1.19524,1.20173,1.20151,0.842844,-1.27644,0.814818,0.814811,0.570019,-1.24768,0.654705,0.654661,0.458279
-211,0.775,1000060120,0.322067,5.01003,3.80546,5.6595,-1.20886,1.32941,1.32827,0.936296,-1.3252,0.824119,0.824104,0.57594,-1.29018,0.708046,0.707863,0.493988
-211,0.825,1000060120,0.498547,5.27128,3.88897,5.9587,-1.29556,1.35392,1.3521,0.95542,-1.34286,0.789283,0.789234,0.552571,-1.33413,0.62973,0.627421,0.431701
