probe,ke,target,meanhA,meanErrhA,stdhA,stdErrhA,meannhN,meanErrhN,stdhN,stdErrhN,meanINCL,meanErrINCL,stdINCL,stdErrINCL,meanGeant4,meanErrGeant4,stdGeant4,stdErrGeant4
-211,0.075,1000060120,2,11.9696,0.634703,0.454832,2.00001,17.3245,3.32944,2.48745,3.16696,2.93563,1.43306,1.92085,3.74521,2.87023,1.68835,2.01945
-211,0.125,1000060120,2.00001,11.9318,1.32806,0.925248,2,15.0877,3.37019,2.53201,3.70142,2.07106,1.37572,1.53346,3.62591,3.78867,1.97673,2.5797
-211,0.175,1000060120,2.00009,16.6155,1.83311,1.27666,2.00004,10.9232,3.79967,3.07304,3.94568,1.92976,1.40726,1.47224,4.07328,3.58976,2.08913,2.55873
-211,0.225,1000060120,3.24585,3.37671,1.63662,2.21775,2.89279,16.6574,3.86429,13.2288,4.12828,1.95587,1.47959,1.50825,4.49109,3.36005,2.1758,2.51884
-211,0.275,1000060120,4.28979,1.25379,1.15235,0.986783,3.95634,11.41,3.58038,6.67617,4.30923,1.80411,1.46035,1.41571,4.79942,3.27152,2.24804,2.54865
-211,0.325,1000060120,4.51777,1.03635,1.01554,0.778072,4.4577,9.39128,3.69471,6.97258,4.44553,1.79205,1.48857,1.41366,4.63705,3.77173,2.37126,2.89247
-211,0.375,1000060120,4.55821,1.08136,1.05533,0.816667,5.72137,4.91398,3.27258,5.22582,4.5656,1.72467,1.48006,1.36515,4.44383,4.81287,2.70431,3.75042
-211,0.425,1000060120,4.5293,1.08539,1.05669,0.822302,5.67474,5.18376,3.37598,5.57797,4.59621,1.85677,1.55729,1.46714,4.28285,4.4576,2.49001,3.30988
-211,0.475,1000060120,4.59419,1.19427,1.14732,0.9175,6.05641,4.46312,3.19729,4.92612,4.65097,1.94152,1.61501,1.53124,3.50039,12.3367,3.15969,5.45509
-211,0.525,1000060120,4.64472,1.14618,1.11385,0.870404,5.8989,5.63,3.64946,6.71537,4.80377,1.835,1.59181,1.45365,4.16049,9.80479,2.72986,3.9303
-211,0.575,1000060120,4.61178,1.33026,1.24782,1.03843,6.32379,4.99918,3.53999,6.2481,4.97004,1.99054,1.71237,1.57956,4.19001,9.75561,2.79669,4.13073
-211,0.625,1000060120,4.66252,1.32515,1.25043,1.03096,7.12611,4.23783,3.25985,5.15684,5.02673,1.98541,1.72182,1.57658,4.4364,5.07255,2.77607,4.02005
-211,0.675,1000060120,4.67147,1.34512,1.26559,1.04818,6.75129,3.50368,2.86091,3.80883,5.02041,2.22849,1.85152,1.76937,4.26182,4.98811,2.6783,3.83224
-211,0.725,1000060120,4.81213,1.29543,1.24427,0.995565,6.73965,4.63758,3.45851,5.89002,5.13007,2.01484,1.75803,1.60221,5.10249,4.16077,2.64876,3.51714
-211,0.775,1000060120,4.75832,1.38105,1.30125,1.07542,7.05454,3.61016,2.92353,4.01595,5.35958,1.97176,1.77711,1.56894,4.76078,5.05538,2.8573,4.22949
-211,0.825,1000060120,4.82251,1.40415,1.32521,1.0924,7.3435,4.54194,3.35127,5.55801,5.27904,2.07126,1.82016,1.65295,5.10302,10.4468,3.42343,5.99518
