probe,ke,target,meanhA,meanErrhA,stdhA,stdErrhA,meannhN,meanErrhN,stdhN,stdErrhN,meanINCL,meanErrINCL,stdINCL,stdErrINCL,meanGeant4,meanErrGeant4,stdGeant4,stdErrGeant4211,0.325,1000060120,4.46857,1.04571,1.02031,0.789967,4.17663,9.47474,3.38508,5.87784,4.85573,10.5056,4.39579,14.2107,2.04551,11.7531,4.54989,6.32018
-211,0.075,1000060120,2.00006,12.4481,0.614998,0.447002,2.00118,16.8578,2.94343,2.11437,4.19802,9.93429,3.49242,6.40071,2.00007,17.5069,2.45627,1.71689,,,,,,,,,,,,,,,,,,
-211,0.125,1000060120,2,11.9506,1.25415,0.874786,2,15.1441,3.03693,2.18872,3.84784,15.1163,4.09414,13.9064,2,16.8333,2.68239,1.89151,,,,,,,,,,,,,,,,,,
-211,0.175,1000060120,2.00014,16.7145,1.75609,1.22307,2.0031,9.74471,3.4364,2.69811,4.39801,12.3419,4.24747,14.1606,2.00013,17.8967,3.24161,2.3945,,,,,,,,,,,,,,,,,,
-211,0.225,1000060120,3.17714,3.35985,1.59799,2.19112,3.20277,14.9679,3.24172,5.71471,4.06618,15.9662,4.55368,13.8075,2.00107,12.224,3.8227,3.11885,,,,,,,,,,,,,,,,,,
-211,0.275,1000060120,4.22246,1.23728,1.13138,0.975429,4.10955,9.22866,3.02624,4.74973,4.35821,14.6782,4.66937,13.7603,2.00063,12.2029,4.19082,3.6988,,,,,,,,,,,,,,,,,,
-211,0.325,1000060120,4.45729,1.02672,1.00396,0.773275,4.45943,9.65,3.2599,5.39641,4.91915,9.94584,4.33941,14.2639,2.00039,10.4378,4.45813,4.17902,,,,,,,,,,,,,,,,,,
-211,0.375,1000060120,4.49967,1.08216,1.052,0.821333,5.55373,4.15641,2.89354,3.93965,4.24981,16.8556,5.18833,14.3256,2,14.7305,4.27909,3.87471,,,,,,,,,,,,,,,,,,
-211,0.425,1000060120,4.49495,1.08133,1.051,0.820889,5.52258,4.35196,2.95899,4.16743,4.17051,16.8405,5.23742,14.6896,2,16.6482,4.3042,3.9183,,,,,,,,,,,,,,,,,,
-211,0.475,1000060120,4.54972,1.19165,1.14118,0.917928,5.86776,3.91215,2.88899,3.90026,3.6476,9.13212,5.7495,17.5653,2,17.9747,4.31072,3.93475,,,,,,,,,,,,,,,,,,
-211,0.525,1000060120,4.61085,1.141,1.10723,0.867842,5.70791,5.12886,3.35791,5.52864,3.7007,9.2875,5.76231,18.3652,2.00027,17.3927,4.12009,3.6147,,,,,,,,,,,,,,,,,,
-211,0.575,1000060120,4.5863,1.31909,1.23689,1.02991,6.1266,4.23262,3.12424,4.64922,5.78402,9.39383,5.01168,14.1516,2.00002,17.7143,4.2636,3.87586,,,,,,,,,,,,,,,,,,
-211,0.625,1000060120,4.64257,1.31711,1.2424,1.02491,6.81264,3.50057,2.89255,3.85223,4.64283,16.6417,5.80843,18.7996,2,17.6348,4.58533,4.53995,,,,,,,,,,,,,,,,,,
-211,0.675,1000060120,4.65212,1.31855,1.24457,1.02569,6.59013,3.55468,2.89736,3.87092,4.40139,9.03469,10.4125,21.2958,2.00001,17.5958,4.10823,3.63523,,,,,,,,,,,,,,,,,,
-211,0.725,1000060120,4.78841,1.29487,1.24163,0.996519,6.56993,4.10559,3.18446,4.83147,5.98727,9.91593,5.73544,18.9745,2.00104,10.6502,5.5775,6.95441,,,,,,,,,,,,,,,,,,
-211,0.775,1000060120,4.74203,1.37519,1.29517,1.07114,6.79619,3.45138,2.85246,3.74919,6.21023,9.47704,5.8792,19.9632,2.00021,14.6207,5.32721,6.2893,,,,,,,,,,,,,,,,,,
