probe,ke,target,meanhA,meanErrhA,stdhA,stdErrhA,meannhN,meanErrhN,stdhN,stdErrhN,meanINCL,meanErrINCL,stdINCL,stdErrINCL,meanGeant4,meanErrGeant4,stdGeant4,stdErrGeant4211,0.325,1000060120,4.46857,1.04571,1.02031,0.789967,4.17663,9.47474,3.38508,5.87784,3.69787,2.70728,1.60588,1.91702,3.36566,11.2138,2.78637,4.37458
-211,0.075,1000060120,2.00006,12.4481,0.614998,0.447002,2.00118,16.8578,2.94343,2.11437,2.36635,14.6161,1.32737,2.28756,2.00069,10.8102,1.85381,1.33496,,,,,,,,,,,,,,,,,,
-211,0.125,1000060120,2,11.9506,1.25415,0.874786,2,15.1441,3.03693,2.18872,2.80219,9.51364,1.39227,2.07437,2.00052,16.6162,2.0585,1.44179,,,,,,,,,,,,,,,,,,
-211,0.175,1000060120,2.00014,16.7145,1.75609,1.22307,2.0031,9.74471,3.4364,2.69811,3.11105,3.13515,1.47672,2.0286,2.00484,17.9291,2.45082,2.01945,,,,,,,,,,,,,,,,,,
-211,0.225,1000060120,3.17714,3.35985,1.59799,2.19112,3.20277,14.9679,3.24172,5.71471,3.28757,3.11035,1.55664,2.05866,2.56832,17.4797,2.6328,4.31311,,,,,,,,,,,,,,,,,,
-211,0.275,1000060120,4.22246,1.23728,1.13138,0.975429,4.10955,9.22866,3.02624,4.74973,3.50885,2.87651,1.58028,1.97427,2.96164,14.2796,2.70346,4.40732,,,,,,,,,,,,,,,,,,
-211,0.325,1000060120,4.45729,1.02672,1.00396,0.773275,4.45943,9.65,3.2599,5.39641,3.64586,2.82725,1.62566,1.97717,2.08778,17.9431,3.31684,5.17905,,,,,,,,,,,,,,,,,,
-211,0.375,1000060120,4.49967,1.08216,1.052,0.821333,5.55373,4.15641,2.89354,3.93965,3.76462,2.76232,1.65897,1.96703,2.0004,11.1464,3.39586,2.57306,,,,,,,,,,,,,,,,,,
-211,0.425,1000060120,4.49495,1.08133,1.051,0.820889,5.52258,4.35196,2.95899,4.16743,3.75583,3.10437,1.77467,2.17037,2.00004,14.0008,3.31918,2.47862,,,,,,,,,,,,,,,,,,
-211,0.475,1000060120,4.54972,1.19165,1.14118,0.917928,5.86776,3.91215,2.88899,3.90026,3.77977,3.30903,1.86027,2.30319,2.00014,17.9271,3.48369,2.67787,,,,,,,,,,,,,,,,,,
-211,0.525,1000060120,4.61085,1.141,1.10723,0.867842,5.70791,5.12886,3.35791,5.52864,3.97205,3.10481,1.8742,2.21942,2.00042,14.9471,3.23216,2.39828,,,,,,,,,,,,,,,,,,
