probe,ke,target,meanhA,meanErrhA,stdhA,stdErrhA,meannhN,meanErrhN,stdhN,stdErrhN,meanINCL,meanErrINCL,stdINCL,stdErrINCL,meanGeant4,meanErrGeant4,stdGeant4,stdErrGeant4
2212,0.075,1000080160,1.40429,2.2286,2.09383,1.72473,1.40208,1.66093,1.64056,1.20941,1.29631,0.798375,0.798355,0.559001,1.8107,1.04199,1.04183,0.730822
2212,1.825,1000060120,1.68622,2.30731,2.11335,1.80164,1.44053,1.55168,1.54003,1.11557,1.5306,0.905359,0.905355,0.633509,1.54044,1.05127,1.05121,0.736814
2212,0.575,1000080160,1.65952,2.44358,2.20458,1.92385,1.42921,1.68188,1.65765,1.22874,1.43822,1.08583,1.08575,0.760622,1.71033,1.19778,1.19651,0.843712
2212,0.325,1000080160,1.56496,2.38879,2.18204,1.87442,1.41812,1.71818,1.69055,1.25957,1.32683,1.08097,1.08093,0.756437,1.83106,1.19814,1.19642,0.845711
2212,0.075,1000060120,1.48586,2.12209,2.01031,1.62813,1.42235,1.57364,1.56022,1.13574,1.16136,0.894416,0.894418,0.626542,1.55995,0.966929,0.966917,0.677193
2212,0.825,1000060120,1.61573,2.31024,2.12345,1.80259,1.49316,1.55181,1.53869,1.11732,1.49678,0.92353,0.923526,0.646441,1.58789,1.07828,1.07815,0.756052
2212,1.075,1000060120,1.64304,2.25778,2.08703,1.75553,1.47558,1.50843,1.49867,1.08329,1.48665,0.901343,0.901338,0.630855,1.53504,1.03553,1.03512,0.725692
2212,0.575,1000060120,1.66514,2.28074,2.09776,1.77688,1.42624,1.57345,1.5599,1.13283,1.46265,0.959486,0.95948,0.671756,1.62855,1.16726,1.1667,0.820338
2212,1.075,1000080160,1.6512,2.45615,2.21084,1.93424,1.47416,1.68872,1.66208,1.23399,1.50094,1.04225,1.04221,0.729719,1.56222,1.18012,1.17958,0.829303
2212,0.325,1000180400,0.44216,2.40847,2.40847,1.685,0.966466,2.05701,2.05701,1.44097,0.382791,1.40097,1.40097,0.981381,0.833936,1.59445,1.59445,1.11688
2212,0.825,1000180400,0.390452,2.34653,2.34653,1.64719,0.823727,2.24927,2.24927,1.57291,0.255308,1.62892,1.62892,1.14117,0.294234,1.64569,1.64569,1.15292
2212,0.575,1000180400,0.364695,2.38783,2.38783,1.67272,0.927381,2.15583,2.15583,1.50725,0.333684,1.54406,1.54406,1.08148,0.518674,1.67854,1.67854,1.17594
2212,0.075,1000180400,0.460032,2.32633,2.32633,1.63022,1.00459,1.88329,1.88329,1.3172,0.201423,1.09624,1.09624,0.767846,0.357544,1.21681,1.21681,0.852373
2212,1.575,1000060120,1.61726,2.32199,2.13222,1.81369,1.50862,1.52156,1.51057,1.09365,1.51802,0.877453,0.877446,0.61418,1.55131,1.0527,1.05263,0.737768
2212,0.825,1000260560,0.705565,2.48369,2.48369,1.73854,0.888117,2.54819,2.54819,1.78148,1.03268,1.65114,1.65114,1.15652,1.32418,1.75629,1.75629,1.23037
2212,1.075,1000260560,0.785367,2.47645,2.47645,1.73238,0.791328,2.5454,2.5454,1.78336,0.944663,1.73671,1.73671,1.21615,1.24202,1.78138,1.78138,1.24568
2212,0.075,1000260560,0.631775,2.32765,2.32765,1.63046,1.07162,1.97315,1.97315,1.38026,1.01573,1.16664,1.16664,0.816949,1.56897,1.38007,1.38007,0.966507
2212,1.825,1000080160,1.63886,2.45786,2.21205,1.93566,1.4625,1.71343,1.68524,1.25816,1.48412,1.02788,1.02784,0.719557,1.61158,1.16733,1.1668,0.820368
2212,0.825,1000080160,1.61562,2.35668,2.14899,1.84391,1.48654,1.70531,1.67559,1.25197,1.5064,1.08961,1.0895,0.763555,1.62898,1.17319,1.17258,0.824922
2212,1.575,1000080160,1.64301,2.34364,2.14051,1.83276,1.49706,1.65787,1.63416,1.21121,1.52481,1.01823,1.0182,0.71295,1.63026,1.17257,1.17196,0.824471
2212,0.325,1000060120,1.59895,2.20758,2.05696,1.70937,1.48479,1.58783,1.57223,1.15046,1.33823,0.999498,0.999489,0.699931,1.7298,1.13687,1.13636,0.798762
