probe,ke,target,meanhA,meanErrhA,stdhA,stdErrhA,meannhN,meanErrhN,stdhN,stdErrhN,meanINCL,meanErrINCL,stdINCL,stdErrINCL,meanGeant4,meanErrGeant4,stdGeant4,stdErrGeant4
2212,0.125,1000060120,0.923774,0.00998506,1.5985,0.00471764,1.04101,0.00683474,1.38629,0.00420797,0.870555,0.00273675,0.828685,0.00125881,1.58667,0.00234073,0.581172,0.00152153
2212,0.25,1000060120,1.20524,0.0114375,1.87565,0.00625074,1.15578,0.00767078,1.44798,0.00486986,1.01418,0.00274299,0.99417,0.0015007,1.4754,0.00534116,0.992758,0.00333882
2212,0.5,1000060120,1.41252,0.0113875,1.97874,0.00675402,1.26378,0.00778513,1.48057,0.00501598,1.22958,0.00307646,1.07592,0.0017949,1.43914,0.00509217,1.13129,0.00330151
2212,0.125,1000260560,0.480036,0.00866175,1.65707,0.00586478,0.795998,0.00695837,1.68205,0.00501719,0.69682,0.0019241,0.926323,0.000894261,1.44985,0.00284402,0.684668,0.0021427
2212,0.25,1000260560,0.474075,0.0109262,2.10015,0.00649649,0.858136,0.00788717,1.84063,0.00591445,0.791933,0.00243243,1.15791,0.00141018,1.22815,0.00529995,1.18977,0.00284423
2212,0.5,1000260560,0.51716,0.0126642,2.45631,0.00841518,0.867694,0.00848558,1.99192,0.00662447,0.961288,0.00296721,1.35119,0.00207617,1.20098,0.00561858,1.45767,0.00401146
2212,0.125,1000822080,0.11233,0.00963542,1.78995,0.00627035,0.219967,0.00755505,1.9153,0.00568379,0.526808,0.0015616,0.953232,0.000775718,0.886476,0.0038614,0.915224,0.00175545
2212,0.25,1000822080,-0.0631676,0.012066,2.37193,0.00782809,0.00154171,0.0091226,2.2124,0.00699035,0.48128,0.00205549,1.23845,0.00122596,0.878016,0.00519234,1.24685,0.00235778
2212,0.5,1000822080,-0.284876,0.0152645,3.0012,0.0100122,-0.387682,0.0113565,2.59522,0.00864109,0.449174,0.00275364,1.55916,0.00194678,0.765203,0.00621082,1.6543,0.00430915
2212,0.125,1000180400,0.376463,0.00879738,1.65382,0.00570488,0.716572,0.00693489,1.6243,0.00476276,0.631166,0.00203166,0.923013,0.000940248,1.44535,0.00278627,0.660128,0.00193954
2212,0.25,1000180400,0.303629,0.0110751,2.07384,0.00669061,0.769707,0.00787266,1.76897,0.00561786,0.717843,0.00254581,1.13548,0.00146957,1.14821,0.00553767,1.17354,0.00281003
2212,0.5,1000180400,0.332185,0.012427,2.35381,0.00804055,0.789727,0.00838692,1.88891,0.00635468,0.884255,0.00309839,1.30904,0.00213717,1.10915,0.00567367,1.41676,0.00393456
