probe,ke,target,consthA,constErrhA,slopehA,slopeErrhA,consthN,constErrhN,slopehN,slopeErrhN,constINCL,constErrINCL,slopeINCL,slopeErrINCL,constGeant4,constErrGeant4,slopeGeant4,slopeErrGeant4
2212,0.125,1000060120,-1.2586,0.0149251,-0.140674,0.00201767,0.342887,0.0115802,-0.413511,0.00197187,-3.03727,0.0105317,-0.653515,0.00300155,-5.70328,0.0456191,-0.381144,0.00899158
2212,0.25,1000060120,-1.1915,0.0155045,-0.150469,0.00211791,0.363539,0.0131222,-0.415074,0.00225987,-3.86607,0.014113,-0.467289,0.00305401,-0.448898,0.00732543,-0.618398,0.0019038
2212,0.5,1000060120,-1.01269,0.0151404,-0.177123,0.00212967,0.239753,0.0135163,-0.391244,0.00229209,-5.3169,0.0244251,-0.289543,0.0037272,-0.999393,0.00824039,-0.421731,0.00182619
2212,0.125,1000260560,-1.90657,0.00864992,-0.107499,0.00057648,-0.459614,0.00778423,-0.278202,0.000999751,-3.97342,0.0100732,-0.388878,0.00180047,-8.04123,0.0877487,-0.0692857,0.0111127
2212,0.25,1000260560,-1.86311,0.00873294,-0.111166,0.000591891,-0.725544,0.00772903,-0.238397,0.000896831,-4.137,0.00890521,-0.239971,0.00103205,-1.96128,0.00739446,-0.305806,0.000984839
2212,0.5,1000260560,-1.87642,0.00865261,-0.11011,0.00058293,-1.07372,0.00705806,-0.193211,0.000693393,-5.18444,0.0122595,-0.14274,0.000855518,-2.27699,0.00713204,-0.231888,0.000685861
2212,0.125,1000822080,-2.30989,0.00849374,-0.0785488,0.000453547,-0.977264,0.00658726,-0.207104,0.000681863,-5.20122,0.0102509,-0.157702,0.000988742,-8.13441,0.0481462,0.0424877,0.0028145
2212,0.25,1000822080,-2.41045,0.00861558,-0.072267,0.000437189,-1.44549,0.00594265,-0.153513,0.000471335,-5.20993,0.00967977,-0.156859,0.00063538,-3.15898,0.00813921,-0.150484,0.000545447
2212,0.5,1000822080,-2.58733,0.00872278,-0.0625681,0.000406872,-1.96152,0.00555767,-0.107862,0.000322147,-6.13222,0.0114296,-0.0742942,0.000476767,-3.38093,0.00766326,-0.101024,0.000391735
2212,0.125,1000180400,-1.83611,0.00921024,-0.112463,0.000668424,-0.296508,0.00808454,-0.303479,0.00109104,-3.76359,0.00969733,-0.397556,0.00175786,-7.94511,0.0816882,-0.0443061,0.0101273
2212,0.25,1000180400,-1.75598,0.00934799,-0.11974,0.000701248,-0.490052,0.00819367,-0.272404,0.00103576,-4.01926,0.00956405,-0.280109,0.00122077,-1.97461,0.00773651,-0.306572,0.00107332
2212,0.5,1000180400,-1.69495,0.00934691,-0.125293,0.00072479,-0.801726,0.00758847,-0.228408,0.000838595,-4.98288,0.0115101,-0.114661,0.000811336,-2.28338,0.00742929,-0.223716,0.00077249
