probe,ke,target,consthA,constErrhA,slopehA,slopeErrhA,consthN,constErrhN,slopehN,slopeErrhN,constINCL,constErrINCL,slopeINCL,slopeErrINCL,constGeant4,constErrGeant4,slopeGeant4,slopeErrGeant4
2212,0.075,1000080160,0.198526,0.349287,0.152295,0.410267,0.544132,0.814806,0.536011,0.605688,1.15241,1.77535,1.09754,1.16184,1.60973,2.61817,1.47302,1.60928
2212,1.825,1000060120,0.25722,0.430375,0.231502,0.435417,0.373763,0.586684,0.366685,0.49748,0.222257,0.398243,0.226741,0.463127,0.306171,0.505515,0.313513,0.484343
2212,0.075,1000060120,0.29403,0.47596,0.266918,0.443192,0.56293,0.839373,0.552305,0.616916,1.08454,1.64358,1.03903,1.09018,1.0429,1.5751,1.00052,1.04799
2212,0.575,1000080160,0.182218,0.337258,0.157415,0.434204,0.346439,0.551665,0.339647,0.484972,0.276924,0.4675,0.279465,0.470623,0.432247,0.666805,0.431444,0.537549
2212,0.325,1000080160,0.167173,0.315766,0.133973,0.429254,0.422459,0.644877,0.416721,0.523708,0.417504,0.64762,0.419859,0.531951,0.676442,1.00187,0.665425,0.712461
2212,0.825,1000060120,0.244692,0.413998,0.21655,0.430956,0.34545,0.547253,0.332116,0.477143,0.200255,0.364011,0.187133,0.44426,0.314941,0.512488,0.313573,0.477486
2212,1.075,1000060120,0.249805,0.420198,0.222263,0.432094,0.348899,0.551118,0.33449,0.477435,0.195004,0.358365,0.186822,0.449271,0.275959,0.461636,0.268554,0.459151
2212,0.575,1000060120,0.218105,0.376918,0.179969,0.418311,0.412663,0.63608,0.403201,0.515449,0.24584,0.422671,0.236641,0.450765,0.416919,0.644877,0.413166,0.524805
2212,1.075,1000080160,0.214736,0.381677,0.202071,0.443899,0.259296,0.437656,0.247031,0.449448,0.212506,0.386544,0.219428,0.465351,0.261972,0.447199,0.26103,0.463245
2212,0.325,1000180400,0.125862,0.215508,0.11746,0.232878,0.292624,0.428771,0.290674,0.321982,0.344643,0.499783,0.34317,0.363802,0.492181,0.708865,0.487065,0.496128
2212,0.825,1000180400,0.131572,0.22601,0.131841,0.242917,0.157802,0.255391,0.150518,0.241002,0.154852,0.253823,0.153415,0.246208,0.167818,0.265765,0.15727,0.240502
2212,0.575,1000180400,0.127552,0.219216,0.12279,0.237053,0.217379,0.331847,0.21396,0.271387,0.206967,0.319766,0.206092,0.268746,0.260216,0.386582,0.256286,0.296861
2212,0.825,1000260560,0.10629,0.193969,0.105966,0.240686,0.120305,0.207964,0.110268,0.230626,0.125019,0.213315,0.1132,0.229358,0.13449,0.223131,0.11809,0.225989
2212,0.075,1000180400,0.21851,0.331749,0.212281,0.268674,0.42731,0.61563,0.424229,0.435973,1.34882,2.11109,1.26438,1.34935,1.86598,3.15968,1.66633,1.86488
2212,1.575,1000060120,0.263891,0.440068,0.240722,0.439612,0.354146,0.559507,0.343267,0.483748,0.208011,0.377652,0.207731,0.45707,0.28256,0.473507,0.282814,0.469515
2212,1.075,1000260560,0.0957738,0.181159,0.0962739,0.243037,0.108366,0.195419,0.104255,0.236686,0.106161,0.190594,0.0955355,0.230181,0.100288,0.17877,0.0768765,0.217834
2212,1.825,1000080160,0.218513,0.387942,0.206475,0.445617,0.301931,0.49825,0.301267,0.474808,0.254001,0.445227,0.274301,0.485149,0.299761,0.49837,0.306448,0.48216
2212,0.075,1000260560,0.223396,0.337675,0.217926,0.27197,0.391916,0.566237,0.389759,0.404637,1.39309,2.19493,1.29984,1.3926,1.71418,2.83283,1.55351,1.71347
2212,0.825,1000080160,0.203612,0.367363,0.190474,0.44339,0.280432,0.466728,0.271368,0.458625,0.224762,0.399676,0.224982,0.45852,0.300764,0.496045,0.298477,0.472601
2212,1.575,1000080160,0.218812,0.38635,0.205707,0.44334,0.281357,0.472266,0.282962,0.470505,0.220316,0.398912,0.232522,0.471768,0.277444,0.469615,0.284124,0.475209
