probe,ke,target,consthA,constErrhA,slopehA,slopeErrhA,consthN,constErrhN,slopehN,slopeErrhN,constINCL,constErrINCL,slopeINCL,slopeErrINCL,constGeant4,constErrGeant4,slopeGeant4,slopeErrGeant4
2212,1.825,1000060120,0.25722,0.430375,0.231502,0.435417,0.373763,0.586684,0.366685,0.49748,0.498517,0.745918,0.488329,0.568484,0.402294,0.626423,0.399988,0.518225
2212,0.075,1000080160,0.198526,0.349287,0.152295,0.410267,0.544132,0.814806,0.536011,0.605688,4.5418,12.1095,3.1186,4.52913,2.45636,4.52156,2.06824,2.43399
2212,0.075,1000060120,0.29403,0.47596,0.266918,0.443192,0.56293,0.839373,0.552305,0.616916,4.07009,10.0647,2.91913,4.0627,2.44813,4.57563,2.06258,2.44637
2212,0.325,1000080160,0.167173,0.315766,0.133973,0.429254,0.422459,0.644877,0.416721,0.523708,1.08722,1.65056,1.04084,1.09301,0.822604,1.22109,0.800724,0.839165
2212,0.575,1000080160,0.182218,0.337258,0.157415,0.434204,0.346439,0.551665,0.339647,0.484972,0.744818,1.10231,0.730492,0.771771,0.516187,0.773662,0.506917,0.582578
2212,0.825,1000060120,0.244692,0.413998,0.21655,0.430956,0.34545,0.547253,0.332116,0.477143,0.576845,0.858889,0.565717,0.627397,0.417821,0.644354,0.410982,0.521589
2212,1.075,1000060120,0.249805,0.420198,0.222263,0.432094,0.348899,0.551118,0.33449,0.477435,0.525759,0.786889,0.515781,0.588892,0.369617,0.581844,0.36358,0.496637
2212,0.575,1000060120,0.218105,0.376918,0.179969,0.418311,0.412663,0.63608,0.403201,0.515449,0.718712,1.06403,0.702873,0.745594,0.551671,0.825161,0.543372,0.61124
2212,1.075,1000080160,0.214736,0.381677,0.202071,0.443899,0.259296,0.437656,0.247031,0.449448,0.527496,0.790066,0.517493,0.590478,0.29948,0.486137,0.279668,0.452705
2212,0.325,1000180400,0.125862,0.215508,0.11746,0.232878,0.292624,0.428771,0.290674,0.321982,0.607403,0.879167,0.598659,0.608757,0.557755,0.804865,0.550845,0.559781
2212,0.575,1000180400,0.127552,0.219216,0.12279,0.237053,0.217379,0.331847,0.21396,0.271387,0.384633,0.557568,0.385302,0.401948,0.3068,0.448382,0.304265,0.332041
2212,0.075,1000180400,0.21851,0.331749,0.212281,0.268674,0.42731,0.61563,0.424229,0.435973,2.58202,4.94037,2.14594,2.58005,2.31507,4.22738,1.97726,2.3136
2212,0.825,1000260560,0.10629,0.193969,0.105966,0.240686,0.120305,0.207964,0.110268,0.230626,0.239285,0.360625,0.237287,0.285834,0.166173,0.263654,0.154195,0.238702
2212,1.075,1000260560,0.0957738,0.181159,0.0962739,0.243037,0.108366,0.195419,0.104255,0.236686,0.197381,0.307617,0.19624,0.263682,0.122899,0.207133,0.10182,0.219808
2212,1.575,1000060120,0.263891,0.440068,0.240722,0.439612,0.354146,0.559507,0.343267,0.483748,0.49245,0.741896,0.481671,0.564429,0.374306,0.588756,0.37003,0.500993
2212,0.825,1000180400,0.131572,0.22601,0.131841,0.242917,0.157802,0.255391,0.150518,0.241002,0.290237,0.431038,0.294619,0.328792,0.206488,0.316188,0.199178,0.261179
2212,1.825,1000180400,0.0902596,0.171977,0.08394,0.237045,0.151426,0.251244,0.153842,0.249489,0.208377,0.329131,0.222662,0.287717,0.117559,0.201563,0.0982613,0.221411
2212,1.825,1000260560,0.0700337,0.148226,0.0718733,0.255232,0.114,0.205778,0.118948,0.246425,0.169271,0.276648,0.177749,0.262555,0.0754183,0.145064,0.041315,0.215163
2212,0.825,1000080160,0.203612,0.367363,0.190474,0.44339,0.280432,0.466728,0.271368,0.458625,0.589296,0.875742,0.579977,0.639136,0.357176,0.561456,0.342398,0.480704
2212,1.325,1000260560,0.0836241,0.164448,0.0811931,0.243041,0.1024,0.187565,0.0967022,0.235573,0.17773,0.283226,0.178475,0.256745,0.0957955,0.171532,0.0661813,0.212855
2212,1.325,1000180400,0.117002,0.206795,0.114512,0.238441,0.136941,0.230551,0.131872,0.238117,0.213217,0.331792,0.222114,0.283353,0.132468,0.219791,0.114126,0.223643
2212,0.325,1000260560,0.121417,0.211242,0.116122,0.235741,0.246955,0.370314,0.244568,0.290159,0.51787,0.746296,0.512052,0.520825,0.483834,0.696629,0.479115,0.488346
2212,1.075,1000180400,0.114881,0.202581,0.110638,0.23646,0.141081,0.23449,0.134364,0.236893,0.241752,0.36796,0.248465,0.297873,0.157367,0.25239,0.143883,0.234413
2212,0.075,1000260560,0.223396,0.337675,0.217926,0.27197,0.391916,0.566237,0.389759,0.404637,2.26201,4.0928,1.94237,2.26063,1.83803,3.09829,1.64583,1.83696
2212,1.575,1000080160,0.218812,0.38635,0.205707,0.44334,0.281357,0.472266,0.282962,0.470505,0.483614,0.729804,0.474205,0.55968,0.312513,0.505422,0.29763,0.4628
2212,1.325,1000060120,0.249105,0.419121,0.220926,0.431359,0.32578,0.521334,0.310572,0.466967,0.498651,0.746014,0.487649,0.567188,0.415149,0.640667,0.408126,0.51979
2212,0.325,1000060120,0.219229,0.37771,0.179648,0.416878,0.471917,0.714665,0.461996,0.551567,0.977982,1.46714,0.943493,0.986229,0.85738,1.27547,0.83252,0.871002
2212,1.825,1000080160,0.218513,0.387942,0.206475,0.445617,0.301931,0.49825,0.301267,0.474808,0.511219,0.768449,0.501857,0.579554,0.334402,0.534967,0.324771,0.47665
2212,1.575,1000260560,0.0720967,0.149253,0.0683536,0.247517,0.104196,0.191744,0.105068,0.242123,0.168724,0.273827,0.17235,0.256802,0.0839172,0.156161,0.0525551,0.213984
2212,0.575,1000260560,0.116357,0.207115,0.116581,0.241419,0.175563,0.278872,0.171522,0.250794,0.322738,0.470698,0.320626,0.345381,0.262384,0.389321,0.258556,0.298379
2212,1.325,1000080160,0.231465,0.405388,0.225137,0.451814,0.280481,0.470136,0.278678,0.466748,0.50247,0.755703,0.491944,0.571781,0.306166,0.496355,0.290812,0.459613
2212,1.575,1000180400,0.101531,0.187029,0.0976341,0.237516,0.137415,0.232323,0.13518,0.241275,0.217813,0.340326,0.229962,0.290398,0.123629,0.20876,0.103904,0.221363
2212,0.125,1000080160,0.184578,0.333332,0.143351,0.416243,0.461322,0.70119,0.452711,0.546231,2.22832,4.00898,1.91977,2.22691,1.40494,2.21829,1.30923,1.40498
2212,1.875,1000060120,0.269128,0.446018,0.244913,0.439581,0.375885,0.590288,0.371191,0.501148,0.507803,0.762595,0.497396,0.575534,0.41134,0.637864,0.408331,0.522454
2212,0.625,1000080160,0.195454,0.356071,0.178778,0.440378,0.329645,0.530665,0.323912,0.479063,0.717256,1.06219,0.701836,0.744848,0.448707,0.682511,0.436918,0.534259
2212,0.375,1000080160,0.172502,0.323704,0.143473,0.431964,0.431,0.661897,0.424403,0.529686,1.0086,1.51894,0.971305,1.01676,0.758247,1.1232,0.740235,0.780534
2212,0.125,1000060120,0.240532,0.403808,0.201976,0.419259,0.472558,0.715377,0.462382,0.551674,1.96015,3.3707,1.73444,1.95905,1.43236,2.26929,1.33253,1.43314
2212,0.875,1000060120,0.245752,0.414731,0.21622,0.429668,0.330546,0.526842,0.314227,0.467603,0.547283,0.817514,0.536565,0.604666,0.398467,0.617964,0.389647,0.508361
2212,1.125,1000060120,0.250492,0.421424,0.223967,0.433228,0.3372,0.536554,0.323418,0.473156,0.508984,0.764065,0.498591,0.576332,0.396908,0.616151,0.391096,0.510425
2212,0.625,1000060120,0.224488,0.384569,0.187381,0.419187,0.390261,0.6063,0.37964,0.501835,0.669054,0.990973,0.655432,0.702812,0.517144,0.777929,0.509696,0.586392
2212,0.375,1000180400,0.129472,0.220688,0.122417,0.234878,0.267872,0.397001,0.265237,0.303537,0.549584,0.793118,0.543184,0.552211,0.502505,0.723794,0.497227,0.506131
2212,1.125,1000080160,0.203477,0.367301,0.190596,0.443678,0.273751,0.459286,0.268965,0.461035,0.532622,0.797438,0.522414,0.594207,0.326201,0.521637,0.310501,0.466585
2212,0.875,1000180400,0.125296,0.216987,0.122026,0.238368,0.14674,0.241073,0.137895,0.236256,0.271483,0.406017,0.276048,0.315276,0.189186,0.293626,0.180219,0.251065
2212,0.125,1000180400,0.153412,0.247054,0.138894,0.232172,0.351272,0.509487,0.349435,0.369219,1.31439,2.0475,1.23578,1.31498,1.17652,1.80024,1.11856,1.17706
2212,0.625,1000180400,0.132273,0.226818,0.132021,0.242557,0.198343,0.307294,0.194264,0.260727,0.363871,0.528677,0.36503,0.384156,0.271409,0.401147,0.268015,0.305005
2212,1.625,1000060120,0.260284,0.435196,0.235735,0.437557,0.36209,0.570637,0.352795,0.489315,0.490068,0.738125,0.479493,0.562756,0.404379,0.628676,0.405305,0.522237
2212,0.875,1000260560,0.0987953,0.184211,0.0968225,0.239906,0.11401,0.199781,0.102309,0.22879,0.227307,0.345189,0.225697,0.279017,0.153072,0.246715,0.138707,0.232244
2212,0.125,1000260560,0.149957,0.242642,0.134662,0.230528,0.332003,0.483514,0.330571,0.353737,1.18934,1.8227,1.1297,1.18997,1.03396,1.5552,0.993873,1.03468
2212,1.875,1000080160,0.201438,0.364544,0.184915,0.440832,0.299667,0.494137,0.29612,0.470861,0.504224,0.758531,0.494535,0.574063,0.318433,0.511902,0.302909,0.463845
2212,1.125,1000260560,0.0861194,0.167297,0.0816699,0.240255,0.101658,0.185902,0.0937755,0.233381,0.190782,0.298957,0.189251,0.260045,0.11469,0.196381,0.0906792,0.216746
2212,0.875,1000080160,0.197515,0.358339,0.17891,0.438494,0.281727,0.468993,0.274076,0.460535,0.570197,0.849316,0.560532,0.623577,0.355607,0.559765,0.341448,0.480693
2212,0.375,1000060120,0.210662,0.364607,0.167306,0.413441,0.461994,0.700908,0.451348,0.544144,0.906844,1.35113,0.880573,0.919832,0.792874,1.1755,0.772972,0.811956
2212,1.625,1000080160,0.208431,0.372556,0.193905,0.441527,0.291422,0.483615,0.289058,0.469218,0.487092,0.734525,0.476569,0.560946,0.315165,0.508855,0.300425,0.463913
2212,0.625,1000260560,0.113974,0.204399,0.114939,0.242154,0.163128,0.262392,0.157953,0.244715,0.305685,0.44754,0.304007,0.332357,0.236137,0.354856,0.231016,0.280137
2212,1.375,1000080160,0.201666,0.362182,0.181514,0.435985,0.287154,0.480475,0.289956,0.473713,0.491605,0.740863,0.481054,0.564123,0.334174,0.532989,0.321159,0.472723
2212,1.375,1000060120,0.255225,0.427513,0.229027,0.434432,0.344233,0.546546,0.332648,0.478586,0.502956,0.756191,0.492149,0.571764,0.384535,0.600418,0.376657,0.502113
2212,1.375,1000260560,0.0865533,0.168469,0.0841354,0.242271,0.104988,0.191559,0.102034,0.238078,0.173809,0.279214,0.175128,0.256161,0.0899651,0.163708,0.0581411,0.212025
2212,0.375,1000260560,0.115817,0.204106,0.111117,0.235756,0.228621,0.345952,0.225365,0.277797,0.464573,0.66805,0.461308,0.471032,0.428352,0.616757,0.425189,0.436722
2212,1.875,1000180400,0.0958706,0.180066,0.0931236,0.239405,0.147343,0.246049,0.148502,0.247241,0.218146,0.343299,0.235332,0.296875,0.122282,0.207604,0.103902,0.222567
2212,1.625,1000180400,0.101141,0.187233,0.0996416,0.240014,0.142693,0.239831,0.142863,0.245,0.205871,0.32452,0.21776,0.283327,0.119507,0.203271,0.0986375,0.219902
2212,1.125,1000180400,0.125099,0.218268,0.12576,0.242589,0.136181,0.2288,0.128573,0.235417,0.230469,0.353455,0.238103,0.291854,0.156171,0.25079,0.142656,0.23396
2212,1.875,1000260560,0.0687733,0.147153,0.0727238,0.258567,0.123173,0.219232,0.133392,0.252783,0.163077,0.268672,0.17105,0.259733,0.0746703,0.144682,0.0425089,0.217364
2212,1.625,1000260560,0.0758328,0.156218,0.0789552,0.252993,0.109371,0.199424,0.113989,0.245783,0.165553,0.269868,0.169563,0.25599,0.0854082,0.158513,0.0553229,0.214812
2212,1.375,1000180400,0.108954,0.196402,0.105708,0.237536,0.137674,0.232006,0.132655,0.238649,0.212411,0.331763,0.221314,0.283393,0.126887,0.212396,0.106842,0.22124
