category,quantity,target,hA2018_slope,hA2018_intercept,hN2018_slope,hN2018_intercept,INCL_slope,INCL_intercept,Geant4_slope,Geant4_intercept
Sum,Gamma,1000060120,-0.7848510714285715,0.749469325595238,-0.7621810714285713,1.0997990089285712,-5.566124285714284,4.508267102380952,-5.871088714285711,4.707768872619046
Difference,Std,1000060120,0.35428714285714424,1.874635607142856,-0.035326428571427725,1.588276053571428,-0.0448785714285705,1.2858659880952377,0.24647428571428556,1.395726714285714
Difference,Mean,1000060120,0.5745828571428575,1.1865511428571422,0.27220714285714365,1.2417396071428564,0.2678200000000004,1.1802314999999992,-1.2306671428571423,2.3133222261904756
Sum,Gamma,1000180400,-0.9027914285714286,0.7305998619047619,-0.6252645714285712,0.7243739380952379,-5.605820785714284,4.422015339880952,-7.7268516428571425,5.668746530357143
Difference,Std,1000180400,0.6350685714285729,1.9861530952380944,0.46762785714285865,1.761168101190475,0.42917357142857165,1.3968752202380947,0.4111285714285727,1.590735261904761
Difference,Mean,1000180400,0.002763571428571557,0.44038290357142834,-0.01951442857142829,0.8274789535714282,0.2748539285714287,0.6338237172619047,-1.6408764285714275,1.9140012369047612
Sum,Gamma,1000080160,-0.7918116428571426,0.6834243970238094,-0.8751419285714284,1.0720722827380949,-5.72552657142857,4.697205454761903,-6.437566142857141,5.000581784523809
Difference,Std,1000080160,0.40928285714285845,1.9114399761904752,0.021705714285714963,1.657309785714285,0.1313507142857155,1.2862977440476184,0.19711928571428597,1.4729130059523805
Difference,Mean,1000080160,0.5969207142857141,1.153661327380952,0.20176000000000022,1.2612146666666664,0.3277142857142855,1.1343210476190475,-1.3469385714285698,2.3771558214285706
Sum,Gamma,1000260560,-0.9632984857142858,0.7440914807142858,-0.6125309999999997,0.657656958333333,-5.027888571428571,4.039345071428571,-6.539756785714284,4.902322339880952
Difference,Std,1000260560,0.7881850000000006,1.9893281249999992,0.6754314285714293,1.7865607380952373,0.4305542857142862,1.4387113809523808,0.6319371428571438,1.511406523809523
Difference,Mean,1000260560,0.04737000000000048,0.6468955833333331,-0.06698071428571371,0.915403972619047,0.2488768571428573,0.8165592928571427,-1.7560482857142854,2.1978476690476185
