probe,ke,target,meanhA,meanErrhA,stdhA,stdErrhA,meannhN,meanErrhN,stdhN,stdErrhN,meanINCL,meanErrINCL,stdINCL,stdErrINCL,meanGeant4,meanErrGeant4,stdGeant4,stdErrGeant4
211,0.125,1000060120,2.51146,0.0566113,0.0913435,0.395547,2.45527,0.00569569,1.06017,0.00632736,2.25116,0.00246857,0.808168,0.00183192,2.41955,0.00270384,0.486628,0.00153974
211,0.25,1000060120,1.58269,0.0244484,2.5018,0.0152765,2.38824,0.00740785,1.26696,0.00649326,2.34463,0.0028801,0.80142,0.00245063,2.437,0.00385975,0.528789,0.00249138
211,0.5,1000060120,1.98536,0.0279768,2.874,0.0220292,2.2676,0.0203235,1.29318,0.0177658,2.38121,0.00530795,0.806196,0.00449441,2.41534,0.00681959,0.506488,0.00414776
211,0.125,1000260560,1.43123,0.0243446,3.04824,0.0187783,2.16063,0.00852445,1.79321,0.00908559,0.657673,0.00276221,1.23372,0.00184739,1.08368,0.00460132,1.2348,0.00244136
211,0.25,1000260560,1.51442,0.0181036,3.3805,0.0121347,1.89439,0.0108972,2.19045,0.0102305,0.587354,0.00324922,1.27852,0.00221678,0.989905,0.00539368,1.296,0.00300814
211,0.5,1000260560,1.81951,0.0233553,3.64433,0.0149163,1.24502,0.0237052,2.83055,0.01921,0.319544,0.00500232,1.36831,0.00364527,0.707783,0.00702997,1.32557,0.00410175
211,0.125,1000822080,0.18436,0.0203841,3.71096,0.0155149,1.07733,0.0126105,2.47903,0.0111488,-8.71181,0.00874686,4.41988,0.00457647,-6.47244,0.0154781,3.83699,0.00942777
211,0.25,1000822080,-0.447703,0.0195106,3.91325,0.0136646,0.335951,0.0159012,2.99767,0.0125456,-10.2006,0.00961182,4.67699,0.00497637,-8.98517,0.0189621,4.3493,0.0098253
211,0.5,1000822080,-1.671,0.0225966,3.965,0.0158762,-1.89144,0.0278743,4.13636,0.0188694,-13.7385,0.0146897,5.10253,0.00952559,-11.4586,0.0218616,5.10771,0.0125059
211,0.125,1000180400,2.50151,0.00296744,0.396347,0.0012247,2.09119,0.00815359,1.6463,0.00855003,-0.0917482,0.00309323,1.17773,0.00197071,0.324139,0.00424893,1.07826,0.0025286
211,0.25,1000180400,1.64078,0.0181046,3.17484,0.0115559,1.77817,0.0106125,2.0371,0.00944377,-0.137791,0.00372011,1.22321,0.00262706,0.0846768,0.00520696,1.08015,0.00339855
211,0.5,1000180400,2.07461,0.0237577,3.43708,0.0141799,1.17511,0.0239914,2.49885,0.0187332,-0.329066,0.0056974,1.2676,0.00434305,-0.139866,0.00668582,1.06816,0.0045147
