probe,ke,target,meanhA,meanErrhA,stdhA,stdErrhA,meannhN,meanErrhN,stdhN,stdErrhN,meanINCL,meanErrINCL,stdINCL,stdErrINCL,meanGeant4,meanErrGeant4,stdGeant4,stdErrGeant4
211,1.075,1000060120,4.64875,13.0016,3.46918,6.16376,2.32204,1.23925,1.23146,0.889838,2.43402,0.710016,0.709388,0.493224,1.79085,1.19653,1.19522,0.843647
211,0.825,1000060120,3.99051,11.0081,3.61953,6.09615,2.17868,1.38293,1.36728,1.00707,2.42717,0.734664,0.734328,0.512323,1.99677,1.03422,1.03394,0.725984
211,0.075,1000060120,2.38691,0.624219,0.620433,0.421586,2.42132,1.15837,1.15161,0.827236,2.12623,0.836671,0.836681,0.58623,1.95403,0.986717,0.986617,0.690499
211,1.325,1000060120,6.12458,21.9676,3.79379,12.7944,2.24015,1.35677,1.34176,0.98496,2.45238,0.795526,0.795442,0.55689,1.81303,1.1454,1.14465,0.805964
211,0.325,1000060120,2.72851,7.81723,3.69401,5.72686,2.37904,1.33947,1.31971,0.977473,2.33509,0.841431,0.841398,0.589074,2.15873,1.01153,1.01118,0.709654
211,1.825,1000060120,7.12975,28.158,3.64265,11.1308,2.13835,1.34783,1.33627,0.974542,2.19578,0.952765,0.95262,0.668236,1.21448,1.17775,1.17759,0.825168
211,0.575,1000060120,3.6528,10.2472,3.71488,6.14277,2.20859,1.27376,1.26589,0.915391,2.39984,0.802955,0.802894,0.562178,2.03077,1.02822,1.02794,0.720846
211,1.575,1000060120,6.8894,27.3242,3.79418,11.8894,2.02443,1.39043,1.37822,1.00582,2.52996,0.712763,0.712133,0.495148,1.48518,1.41719,1.41225,1.00947
211,1.125,1000060120,4.79288,12.6192,3.43944,5.9593,2.19148,1.31654,1.30603,0.950441,2.41187,0.77377,0.77365,0.541176,1.8982,1.04636,1.04612,0.734321
211,0.875,1000060120,3.82469,8.67499,3.27637,5.02588,2.1734,1.34518,1.33297,0.972343,2.42997,0.796678,0.796602,0.557085,2.04721,1.09553,1.09471,0.770737
211,0.125,1000060120,2.18087,1.44681,1.42189,1.05925,2.41234,1.14045,1.13377,0.812342,2.21409,0.855786,0.855772,0.5997,1.97896,1.01033,1.01015,0.708755
211,1.375,1000060120,5.58213,18.2712,3.56486,12.6049,2.26577,1.26996,1.26122,0.913844,2.38126,0.761223,0.761081,0.532226,1.70855,1.0793,1.0791,0.756651
211,0.375,1000060120,2.7582,7.66734,3.642,5.57357,2.30039,1.4031,1.37977,1.02913,2.37044,0.837742,0.837702,0.586926,2.09555,1.02383,1.02349,0.719123
211,1.875,1000060120,8.31552,42.5396,4.12024,10.8707,1.86618,1.12214,1.12148,0.789343,2.34934,0.543531,0.522202,0.338751,1.365,1.34526,1.34326,0.95025
211,0.625,1000060120,4.09541,12.7466,3.8846,6.89583,2.11082,1.23833,1.23141,0.882415,2.34162,0.835477,0.835444,0.58511,2.08802,0.994178,0.993978,0.697681
211,1.625,1000060120,6.30725,21.8908,3.51112,11.6852,2.1402,1.04499,1.03422,0.733052,2.56853,0.799368,0.799281,0.559311,1.64868,1.37753,1.3724,0.981446
211,1.175,1000060120,5.8707,21.6142,3.95954,13.5153,2.2946,1.29082,1.28005,0.933212,2.35607,0.748788,0.748625,0.523099,2.00767,1.09957,1.09881,0.77341
211,0.925,1000060120,4.73539,14.4663,3.72659,6.78983,2.29838,1.42892,1.40345,1.05092,2.38111,0.758052,0.757899,0.529934,1.98492,1.01817,1.01797,0.713105
211,0.175,1000060120,2.03923,2.34345,2.08345,1.83287,2.36582,1.16657,1.16133,0.830472,2.28823,0.846132,0.846108,0.59342,2.06576,1.00281,1.0026,0.703801
211,1.425,1000060120,5.7522,19.3769,3.63153,12.6628,2.12491,1.28578,1.27228,0.921147,2.39269,0.712049,0.711536,0.495264,1.58455,1.03108,1.03103,0.722446
211,0.425,1000060120,2.728,7.27073,3.55338,5.30509,2.40587,1.37723,1.35235,1.01132,2.36746,0.832343,0.832304,0.583082,2.10711,1.02203,1.02169,0.717761
211,1.925,1000060120,7.29775,29.7618,3.57401,10.6312,2.14058,1.1378,1.13594,0.804526,2.22955,0.758361,0.758385,0.531069,1.52151,1.29412,1.29232,0.913517
211,0.675,1000060120,3.61732,9.75592,3.60503,5.84866,2.11733,1.31121,1.30261,0.942625,2.40932,0.774193,0.774075,0.541531,1.97396,1.025,1.02479,0.718607
211,1.675,1000060120,8.22866,39.3761,4.09067,11.146,2.0472,0.962755,0.962662,0.674905,2.56351,0.793422,0.793328,0.554675,1.67442,1.12856,1.12818,0.791173
211,1.225,1000060120,5.4684,17.5933,3.73611,7.07917,2.36921,1.47391,1.43395,1.0964,2.50663,0.8098,0.809725,0.567126,1.72591,1.3041,1.3008,0.925435
211,0.975,1000060120,5.22537,17.3518,3.8887,7.35944,2.07845,1.29624,1.28922,0.928544,2.36388,0.779399,0.779319,0.545379,2.06138,1.03124,1.0309,0.724109
211,0.225,1000060120,2.1336,3.54388,2.6472,2.79805,2.38218,1.26452,1.25193,0.912285,2.32212,0.836952,0.836923,0.586245,2.12787,0.990277,0.990059,0.693381
211,1.475,1000060120,7.01968,29.7935,3.97169,12.2286,1.95588,1.27668,1.27219,0.909579,2.45689,0.687464,0.686332,0.475201,1.48799,1.34622,1.34347,0.952245
211,0.475,1000060120,3.40412,10.5723,3.91877,6.68309,2.38635,1.39664,1.36921,1.02914,2.38116,0.824314,0.824271,0.577337,2.03221,1.0095,1.0093,0.706965
211,1.975,1000060120,5.99437,18.1811,3.15221,10.8389,2.29823,1.45958,1.43014,1.08041,2.58707,0.880707,0.880507,0.617989,1.69657,1.1733,1.17255,0.824458
211,0.725,1000060120,3.93581,11.0302,3.69688,6.2169,2.09368,1.24082,1.23622,0.884129,2.40134,0.79258,0.792506,0.554555,2.17409,0.90118,0.901137,0.631402
211,1.725,1000060120,6.51455,23.2964,3.49243,11.3774,2.19005,1.33747,1.3255,0.968325,2.3,0.598633,0.595437,0.40972,1.70667,1.33058,1.32663,0.943738
211,1.275,1000060120,5.30367,15.4107,3.51803,6.47771,2.36248,1.19359,1.18771,0.854126,2.43151,0.679245,0.677951,0.468776,1.76579,1.37515,1.36868,0.981602
211,1.025,1000060120,4.61619,14.2352,3.7424,6.83387,2.0603,1.34955,1.33957,0.973061,2.44762,0.721686,0.721197,0.502283,1.99012,1.0915,1.09085,0.767841
211,0.275,1000060120,2.32386,5.89093,3.38106,4.64897,2.36291,1.32532,1.30679,0.963628,2.34246,0.834666,0.834633,0.584772,2.19753,0.994113,0.993806,0.696514
211,1.525,1000060120,6.45749,24.2725,3.76227,12.3016,2.23648,1.22511,1.21945,0.875777,2.55336,0.651637,0.649123,0.444185,1.89345,1.39122,1.38165,1.00131
211,0.525,1000060120,3.32681,8.68485,3.57883,5.59215,2.43598,1.33107,1.30756,0.97159,2.34762,0.796623,0.796575,0.557813,2.03149,0.971203,0.9711,0.67983
211,2.025,1000060120,7.21605,28.889,3.5071,10.5079,1.82044,1.26306,1.26019,0.894619,2.37499,0.819751,0.819709,0.574189,1.66742,1.33755,1.33366,0.950176
211,0.775,1000060120,4.60937,16.4199,4.13678,7.90136,2.13186,1.39991,1.38379,1.01867,2.42962,0.775008,0.774884,0.541829,2.05957,1.01491,1.01465,0.711226
211,1.775,1000060120,6.34806,22.2025,3.48559,11.54,2.02982,1.31704,1.30965,0.943429,2.40562,0.783508,0.783415,0.54817,1.65721,1.24943,1.24781,0.881727
211,0.075,1000180400,2.33009,0.909395,0.909393,0.636905,1.95822,1.77158,1.77158,1.24076,0.839365,1.32366,1.32366,0.927275,1.1742,1.28122,1.28122,0.897506
211,0.325,1000180400,1.73056,3.3648,3.3648,2.35701,1.55984,2.20904,2.20904,1.54704,0.962945,1.48545,1.48545,1.04045,1.14121,1.47656,1.47656,1.03471
211,0.825,1000180400,2.83547,3.49645,3.49643,2.44968,0.66722,2.58022,2.58022,1.80702,0.576715,1.81982,1.81982,1.27424,0.487514,1.62205,1.62205,1.13632
