probe,ke,target,meanhA,meanErrhA,stdhA,stdErrhA,meannhN,meanErrhN,stdhN,stdErrhN,meanINCL,meanErrINCL,stdINCL,stdErrINCL,meanGeant4,meanErrGeant4,stdGeant4,stdErrGeant4
211,0.125,1000060120,2.48939,0.0357582,0.0788894,0.250036,2.28586,0.00700047,1.03307,0.00736367,1.65098,0.00327564,0.954346,0.00184649,1.45873,0.00713224,1.15001,0.00332743
211,0.25,1000060120,1.93559,0.0355284,1.74103,0.0157572,2.18007,0.0078616,1.25574,0.00672183,1.93093,0.00401053,1.01237,0.00256396,1.70837,0.00946262,1.28668,0.00512334
211,0.5,1000060120,1.76531,0.0279389,2.54303,0.0178918,2.06334,0.0226069,1.4226,0.0190021,2.05672,0.0075759,1.05849,0.00512564,1.62963,0.0175144,1.35398,0.0107049
211,0.125,1000260560,1.24902,0.0231808,1.72474,0.0120183,1.82594,0.0083018,1.60962,0.00710276,1.17075,0.00282455,1.11364,0.00148314,1.1433,0.00506908,1.24711,0.00242752
211,0.25,1000260560,1.16738,0.0157691,2.56113,0.00854202,1.5922,0.0101741,1.92621,0.00819352,1.34058,0.00365311,1.31957,0.0022903,1.32037,0.00606935,1.48853,0.00353082
211,0.5,1000260560,1.52088,0.0206469,3.19791,0.0124053,0.937439,0.0214595,2.50737,0.0155042,1.3407,0.00610902,1.61648,0.00444871,1.20326,0.00858482,1.7444,0.00590416
211,0.125,1000822080,0.556692,0.0110859,1.70151,0.00788698,0.930154,0.0107217,2.11607,0.0083275,0.818788,0.00244657,1.21651,0.0014899,0.87537,0.00474836,1.22805,0.00237344
211,0.25,1000822080,0.0766882,0.011366,2.24868,0.00836862,0.352205,0.0133706,2.52434,0.009716,0.800536,0.00305343,1.47168,0.00196116,0.899803,0.00577342,1.51698,0.00333182
211,0.5,1000822080,-0.900175,0.0179604,3.15635,0.0119758,-1.4403,0.0224296,3.4751,0.0160264,0.442503,0.00453141,1.83881,0.00305755,0.659891,0.00782458,1.86375,0.00537435
211,0.125,1000180400,1.38284,0.0293602,1.57417,0.0123553,1.80584,0.00833253,1.51836,0.00688574,1.09559,0.00299426,1.11228,0.00175033,1.02226,0.0052839,1.23462,0.00254044
211,0.25,1000180400,1.33371,0.0173219,2.4443,0.00872126,1.54316,0.00988866,1.7967,0.00779495,1.27213,0.00402195,1.30279,0.00267349,1.20396,0.00646072,1.45706,0.00350568
211,0.5,1000180400,1.7703,0.0221219,3.05051,0.0123592,0.97956,0.0221757,2.26832,0.0159349,1.24745,0.00706599,1.58494,0.00523438,1.04265,0.00958397,1.68684,0.00651911
