probe,ke,target,meanhA,meanErrhA,stdhA,stdErrhA,meannhN,meanErrhN,stdhN,stdErrhN,meanINCL,meanErrINCL,stdINCL,stdErrINCL,meanGeant4,meanErrGeant4,stdGeant4,stdErrGeant4
211,0.125,1000060120,-5.83704,0.115846,1.95134,0.0190919,-8.98807,2.15447,6.31055,0.446506,3.80541,0.003616,1.17089,0.0020437,4.78573,0.00667375,1.00891,0.0146888
211,0.25,1000060120,4.0265,0.0118336,1.22061,0.00570398,2.76467,0.105391,4.04439,0.0547408,4.35358,0.00459279,1.21288,0.00256279,5.21417,0.010098,1.13579,0.00889999
211,0.5,1000060120,4.68008,0.00909667,1.14104,0.00665454,4.89666,0.281312,5.05384,0.27064,4.87681,0.0100706,1.26335,0.0047687,5.13984,0.0205704,1.10067,0.0137949
211,0.125,1000260560,-2.02834,0.0968756,1.24459,0.0167904,-2.90875,0.366406,8.05611,0.121468,6.582,0.0053279,1.96148,0.00271506,6.41455,0.0114406,1.68633,0.0045723
211,0.25,1000260560,6.20156,0.0363281,3.654,0.0235987,5.56913,0.0945637,6.76148,0.0636352,7.60581,0.00693402,2.25451,0.0034384,8.25304,0.0140565,2.3149,0.00655243
211,0.5,1000260560,8.41832,0.0266082,3.76122,0.02474,13.1027,0.0708494,7.22392,0.0737658,9.028,0.0111092,2.83083,0.00708101,10.5972,0.025941,2.9272,0.0108021
211,0.125,1000822080,17.257,0.055936,8.65518,0.0495978,3.46458,0.177659,8.95324,0.0953632,12.7869,0.00846748,3.69996,0.00355905,10.8525,0.0170451,3.00421,0.00744631
211,0.25,1000822080,20.4622,0.0559431,9.98311,0.0489334,9.69063,0.072251,8.50941,0.0639977,14.6399,0.00995339,4.80459,0.00572203,12.9653,0.0224826,5.37473,0.0152654
211,0.5,1000822080,26.9889,0.075726,12.2269,0.0648101,21.0728,0.0623358,9.60854,0.0617393,19.881,0.0150926,5.91353,0.00851162,18.3324,0.0264655,5.54653,0.0122448
211,0.125,1000180400,-2.62884,0.0842823,1.35926,0.0134126,-3.52892,0.39146,7.60479,0.122523,5.8528,0.00498816,1.80949,0.00284521,6.26306,0.0108485,1.60308,0.00477132
211,0.25,1000180400,5.11206,0.032179,2.87116,0.0188349,5.01441,0.091308,6.08716,0.0590835,6.65432,0.00688214,1.9854,0.00355563,7.93744,0.0138488,2.06435,0.00597656
211,0.5,1000180400,6.9622,0.0210641,2.8318,0.0186873,11.2748,0.0789193,6.59755,0.072207,7.77608,0.0126067,2.16244,0.00570053,9.78749,0.026229,2.67868,0.0109066
