probe,ke,target,meanhA,meanErrhA,stdhA,stdErrhA,meannhN,meanErrhN,stdhN,stdErrhN,meanINCL,meanErrINCL,stdINCL,stdErrINCL,meanGeant4,meanErrGeant4,stdGeant4,stdErrGeant4
2112,0.125,1000060120,-0.431722,0.0109883,2.00515,0.00689339,-0.522815,0.0076636,1.56687,0.00479267,-0.124653,0.00326463,0.876377,0.00206287,-0.462346,0.00259579,0.695535,0.00251244
2112,0.25,1000060120,-0.447596,0.0109373,2.00075,0.00705381,-0.510948,0.00781646,1.57634,0.005097,-0.214148,0.00359219,0.886599,0.00192192,-0.492968,0.00294147,0.769744,0.00223353
2112,0.5,1000060120,-0.420946,0.0111806,1.99367,0.00696614,-0.502116,0.00800878,1.55487,0.00498922,-0.330132,0.00377292,0.909073,0.00210864,-0.427066,0.00339504,0.802781,0.00227624
2112,0.125,1000260560,-1.24746,0.0124347,2.41724,0.00855487,-0.868804,0.00867326,2.07797,0.00682866,-0.992738,0.00296043,1.18047,0.00170741,-1.40701,0.00413292,1.19099,0.00283386
2112,0.25,1000260560,-1.23976,0.012161,2.39906,0.00845702,-0.92251,0.00889978,2.16909,0.00727779,-1.15077,0.00316306,1.24181,0.00199431,-1.44796,0.00442069,1.26221,0.00284829
2112,0.5,1000260560,-1.25804,0.0124526,2.41846,0.00862521,-0.935568,0.0095417,2.29717,0.00804119,-1.40733,0.00331603,1.28669,0.00223173,-1.50615,0.00504887,1.37752,0.00299582
2112,0.125,1000822080,-2.20514,0.0176155,3.45909,0.0128143,-1.6789,0.00942862,2.32737,0.00769697,-4.01081,0.00897954,2.36098,0.00352176,-5.8598,0.00953869,2.57062,0.00384695
2112,0.25,1000822080,-2.21652,0.0171564,3.46604,0.0122646,-2.02946,0.0108914,2.64739,0.00886911,-5.31413,0.0153599,2.8976,0.00572728,-8.4408,0.0166815,3.83059,0.00823887
2112,0.5,1000822080,-2.2445,0.0177555,3.4984,0.012868,-2.57663,0.0137879,3.07838,0.0108348,-9.28547,0.0179034,4.40181,0.0071413,-11.5856,0.020746,5.10535,0.0104809
2212,0.125,1000060120,1.58172,0.0112955,1.99077,0.00717659,1.51301,0.00774406,1.56955,0.00463904,1.1991,0.00305583,0.835408,0.00173912,1.6167,0.00270422,0.724733,0.00242403
2212,0.25,1000060120,1.55632,0.0118677,2.01261,0.00786401,1.49631,0.00833704,1.55948,0.00535368,1.30641,0.00348339,0.88366,0.00215685,1.64022,0.0030964,0.785443,0.00220349
2212,0.5,1000060120,1.55772,0.0116145,2.01617,0.00741734,1.49268,0.00832345,1.55216,0.00548541,1.42367,0.00364992,0.907057,0.00214186,1.59407,0.00332018,0.792544,0.00221236
2212,0.125,1000260560,0.72011,0.0125264,2.45966,0.00806599,1.1603,0.00870947,2.10109,0.00698141,0.250893,0.00263956,1.06212,0.00190561,0.53099,0.0041684,1.20743,0.00223712
2212,0.25,1000260560,0.695413,0.0127637,2.45364,0.00828906,1.11071,0.00924798,2.16805,0.00764103,0.306737,0.00292232,1.16258,0.00201091,0.588909,0.00469859,1.29234,0.00262577
2212,0.5,1000260560,0.701449,0.0126764,2.4602,0.00804933,1.05201,0.00979798,2.30602,0.00813481,0.310516,0.00323519,1.25842,0.00215569,0.435917,0.00503129,1.36584,0.00277103
2212,0.125,1000822080,-0.388392,0.0175543,3.48688,0.0114934,0.296122,0.00948329,2.38569,0.00788946,-3.99631,0.00856997,2.41191,0.00300485,-4.812,0.0110417,3.05276,0.00570204
2212,0.25,1000822080,-0.373391,0.0177103,3.49855,0.012005,-0.042571,0.0112072,2.66246,0.00931405,-5.17957,0.0142627,3.10013,0.00512373,-6.91434,0.0190651,3.80489,0.00865567
2212,0.5,1000822080,-0.387185,0.017907,3.53067,0.0120925,-0.563049,0.0139939,3.11907,0.0112609,-8.19112,0.0171105,4.40357,0.0067981,-10.4553,0.0233346,4.85758,0.0101515
