probe,ke,target,consthA,constErrhA,slopehA,slopeErrhA,consthN,constErrhN,slopehN,slopeErrhN,constINCL,constErrINCL,slopeINCL,slopeErrINCL,constGeant4,constErrGeant4,slopeGeant4,slopeErrGeant4
2112,0.125,1000060120,-1.30086,0.0147239,-0.134539,0.00198062,0.409036,0.0115778,-0.426038,0.00199597,-2.43965,0.0119132,-0.711422,0.00360592,-5.56824,0.0334059,-0.115635,0.00618498
2112,0.25,1000060120,-1.19792,0.0146081,-0.149527,0.00199544,0.401824,0.0121687,-0.422266,0.00210765,-3.43559,0.0173648,-0.495842,0.00385132,-0.414819,0.00690893,-0.626111,0.00182372
2112,0.5,1000060120,-0.997984,0.0147673,-0.17933,0.00207976,0.270868,0.0128669,-0.396921,0.00218876,-4.95054,0.0311199,-0.321245,0.00520809,-1.06987,0.00817768,-0.41015,0.00176751
2112,0.125,1000260560,-1.90354,0.0085477,-0.10781,0.000568643,-0.332208,0.00795337,-0.297795,0.00106568,-6.23559,0.028546,-0.143219,0.00390919,-7.73583,0.0742306,-0.0618913,0.00934065
2112,0.25,1000260560,-1.86618,0.00848203,-0.110911,0.000576531,-0.668852,0.00722775,-0.246719,0.000846862,-6.88598,0.036344,-0.142694,0.00360522,-2.05567,0.00774662,-0.340153,0.00102382
2112,0.5,1000260560,-1.86821,0.00856739,-0.110747,0.000579129,-1.05801,0.00677427,-0.195657,0.000664944,-7.36019,0.0393996,-0.108014,0.00238486,-2.42872,0.00733054,-0.216654,0.000676653
2112,0.125,1000822080,-2.34511,0.00847056,-0.0763317,0.00044004,-0.840765,0.00687871,-0.224521,0.000757495,-7.69755,0.0360164,-0.0855025,0.00323198,-9.30507,0.122181,-0.00406189,0.00889831
2112,0.25,1000822080,-2.44993,0.00819131,-0.0700808,0.000401291,-1.38726,0.00580003,-0.160043,0.000473787,-7.50941,0.0263729,-0.0486789,0.00149478,-3.41043,0.00801361,-0.108309,0.000506731
2112,0.5,1000822080,-2.63722,0.00866787,-0.0597754,0.000392878,-1.9183,0.00542868,-0.111901,0.000318407,-9.70294,0.0544547,-0.00879834,0.00195974,-3.65983,0.00900343,-0.111344,0.000453028
2212,0.125,1000060120,-1.2586,0.0149251,-0.140674,0.00201767,0.342887,0.0115802,-0.413511,0.00197187,-2.4232,0.0102007,-0.481029,0.00286663,-5.69456,0.0458297,-0.380287,0.00902563
2212,0.25,1000060120,-1.1915,0.0155045,-0.150469,0.00211791,0.363539,0.0131222,-0.415074,0.00225987,-3.46854,0.0169151,-0.439682,0.00377598,-0.487973,0.00741898,-0.613305,0.00190954
2212,0.5,1000060120,-1.01269,0.0151404,-0.177123,0.00212967,0.239753,0.0135163,-0.391244,0.00229209,-5.00412,0.0290905,-0.259615,0.00422311,-1.03886,0.00829331,-0.416163,0.00181651
2212,0.125,1000260560,-1.90657,0.00864992,-0.107499,0.00057648,-0.448536,0.00777173,-0.279694,0.000999982,-5.92143,0.0290783,-0.311501,0.00471814,-8.02922,0.0877426,-0.0692967,0.0111124
2212,0.25,1000260560,-1.86311,0.00873294,-0.111166,0.000591891,-0.6971,0.00762887,-0.242529,0.000890392,-6.06028,0.0235299,-0.129224,0.00242199,-1.99627,0.00747518,-0.303203,0.000989625
2212,0.5,1000260560,-1.87642,0.00865261,-0.11011,0.00058293,-1.0755,0.00705929,-0.193001,0.000691279,-7.60453,0.0471347,-0.117973,0.00325043,-2.30777,0.00727891,-0.23852,0.000693787
2212,0.125,1000822080,-2.30989,0.00849374,-0.0785488,0.000453547,-0.978973,0.00655303,-0.20649,0.000676897,-7.15926,0.028193,-0.145597,0.00249887,-8.1341,0.0481466,0.0424889,0.00281453
2212,0.25,1000822080,-2.41045,0.00861558,-0.072267,0.000437189,-1.44477,0.00594893,-0.153423,0.000473331,-7.01624,0.0214487,-0.0771817,0.00125274,-3.19016,0.00821322,-0.149738,0.000548178
2212,0.5,1000822080,-2.58733,0.00872278,-0.0625681,0.000406872,-1.95112,0.00552912,-0.108609,0.000319917,-9.1223,0.0441541,-0.0163106,0.00159354,-3.39308,0.00769748,-0.10075,0.00039269
