probe,ke,target,meanhA,meanErrhA,stdhA,stdErrhA,meannhN,meanErrhN,stdhN,stdErrhN,meanINCL,meanErrINCL,stdINCL,stdErrINCL,meanGeant4,meanErrGeant4,stdGeant4,stdErrGeant4
111,0.125,1000060120,0.500019,0.000430049,0.000337491,0.689032,0.503533,0.00627953,1.1136,0.00667442,0.550572,0.00364666,0.972172,0.00197671,0.498281,0.00238851,0.531138,0.00153354
111,0.25,1000060120,0.381703,0.0180413,2.92441,0.0137902,0.498007,0.00783825,1.31471,0.00637496,0.556453,0.00517873,0.962372,0.00269277,0.500207,0.0033184,0.547847,0.00226883
111,0.5,1000060120,1.09166,0.0298189,3.32482,0.0251469,0.527481,0.0213137,1.34746,0.0160048,0.524643,0.00963454,0.941834,0.00533389,0.507335,0.00617073,0.542902,0.00413995
111,0.125,1000260560,-0.170105,0.0215834,3.03141,0.016731,0.204649,0.00930941,1.85305,0.00946218,-1.03737,0.00322855,1.28702,0.00217621,-0.523888,0.00549234,1.33284,0.00286823
111,0.25,1000260560,-0.137845,0.017216,3.38106,0.0115283,0.0367232,0.0114625,2.24486,0.010309,-1.10929,0.0040375,1.31877,0.00278218,-0.711607,0.00591279,1.3607,0.00310611
111,0.5,1000260560,0.188837,0.0231709,3.66779,0.0146183,-0.33606,0.0234705,2.83212,0.0183439,-1.2629,0.00697638,1.38202,0.0051555,-0.983585,0.00788102,1.39858,0.0043784
111,0.125,1000822080,-1.58749,0.0192631,3.56335,0.0154001,-0.851091,0.0132367,2.47997,0.0114412,-9.94607,0.00813979,4.24079,0.0037674,-7.70127,0.0146432,3.8003,0.00729575
111,0.25,1000822080,-2.37855,0.0190658,3.86729,0.01371,-1.48174,0.016524,3.00234,0.0131213,-10.9571,0.00996979,4.60827,0.0048581,-9.88654,0.0173445,4.75766,0.0113321
111,0.5,1000822080,-3.63354,0.0227418,3.97393,0.0162264,-3.3066,0.0266041,4.10658,0.0188635,-13.2051,0.0165815,5.32228,0.0087982,-12.6305,0.0216403,5.13151,0.0122319
211,0.125,1000060120,2.51146,0.0566113,0.0913435,0.395547,2.45527,0.00569569,1.06017,0.00632736,2.1306,0.00355147,0.951116,0.00233957,2.41955,0.00270384,0.486628,0.00153974
211,0.25,1000060120,1.58269,0.0244484,2.5018,0.0152765,2.38824,0.00740785,1.26696,0.00649326,2.28152,0.00444207,0.936847,0.00272158,2.43708,0.00386461,0.528554,0.0024924
211,0.5,1000060120,1.98536,0.0279768,2.874,0.0220292,2.2676,0.0203235,1.29318,0.0177658,2.34642,0.00920552,0.930513,0.00562093,2.41534,0.00681959,0.506488,0.00414776
211,0.125,1000260560,1.43123,0.0243446,3.04824,0.0187783,2.15249,0.00850077,1.7777,0.00907404,0.648739,0.00295516,1.22688,0.00198591,1.08368,0.00460132,1.2348,0.00244136
211,0.25,1000260560,1.51442,0.0181036,3.3805,0.0121347,1.88773,0.0109033,2.18605,0.0103307,0.655032,0.00360798,1.26248,0.00245606,0.989905,0.00539368,1.296,0.00300814
