probe,ke,target,meanhA,meanErrhA,stdhA,stdErrhA,meannhN,meanErrhN,stdhN,stdErrhN,meanINCL,meanErrINCL,stdINCL,stdErrINCL,meanGeant4,meanErrGeant4,stdGeant4,stdErrGeant4
111,0.125,1000060120,-5.77556,0.125941,1.96328,0.0199428,-3.40963,0.465675,5.16261,0.125076,3.46989,0.00448678,1.19836,0.00318118,4.47501,0.00568819,1.13423,0.00454787
111,0.25,1000060120,3.98996,0.0119236,1.20255,0.00616347,4.31455,0.0527871,3.48281,0.0367639,3.97819,0.00647578,1.15564,0.00411375,4.92915,0.00832848,1.1746,0.00628295
111,0.5,1000060120,4.6118,0.00896377,1.12464,0.00633741,6.47912,0.104856,3.97618,0.131603,4.34591,0.0133936,1.16889,0.00816389,4.87589,0.0203443,1.03287,0.0110184
111,0.125,1000260560,-1.82203,0.0970943,1.20628,0.0153025,-0.28842,0.263257,7.30888,0.103,6.83811,0.00576826,2.02136,0.003014,6.35567,0.0111202,1.59402,0.00448617
111,0.25,1000260560,6.32771,0.0337307,3.55429,0.0221752,7.01408,0.0608952,6.02208,0.0524926,7.57582,0.00842319,2.16416,0.00387868,8.09498,0.0136001,2.24523,0.0061588
111,0.5,1000260560,8.4051,0.0267678,3.77287,0.0242463,13.3679,0.0624571,6.81623,0.062626,8.73014,0.0167762,2.51936,0.00755153,10.4416,0.0253193,2.86758,0.0104443
111,0.125,1000822080,17.39,0.0543063,8.59648,0.0463098,4.7453,0.137677,8.14317,0.0830114,13.0971,0.00765641,3.81424,0.00334716,11.1016,0.0163533,2.95487,0.00669221
111,0.25,1000822080,20.5931,0.0543222,9.85046,0.0470249,10.6816,0.054357,7.70128,0.0573236,14.9756,0.0104283,4.43115,0.00468206,12.9619,0.021225,5.26776,0.0140014
111,0.5,1000822080,27.3774,0.0746461,11.8924,0.0609366,20.7938,0.0593528,9.10137,0.0568666,18.2043,0.0189879,6.05505,0.0105571,16.9073,0.0309726,6.48923,0.0179583
211,0.125,1000060120,-5.92677,0.109863,1.9631,0.018992,-8.98807,2.15527,6.31055,0.446671,3.55738,0.00417872,1.12866,0.00288405,4.78573,0.00667375,1.00891,0.0146888
211,0.25,1000060120,4.0265,0.0118336,1.22061,0.00570398,2.76467,0.105391,4.04439,0.0547408,4.00355,0.00560794,1.11667,0.00325598,5.21364,0.0101252,1.13648,0.00892387
211,0.5,1000060120,4.68008,0.00909667,1.14104,0.00665454,4.89666,0.281312,5.05384,0.27064,4.36254,0.013094,1.15454,0.00726821,5.13984,0.0205704,1.10067,0.0137949
211,0.125,1000260560,-2.02834,0.0968756,1.24459,0.0167904,-3.01641,0.378949,8.12323,0.125876,6.61843,0.00559415,1.96336,0.00291357,6.41455,0.0114406,1.68633,0.0045723
211,0.25,1000260560,6.20156,0.0363281,3.654,0.0235987,5.49247,0.0964395,6.75454,0.0648076,7.32168,0.00785417,2.2057,0.00394739,8.25304,0.0140565,2.3149,0.00655243
211,0.5,1000260560,8.41832,0.0266082,3.76122,0.02474,13.0428,0.0728873,7.34604,0.0743508,8.4678,0.0160368,2.42992,0.00712312,10.5972,0.025941,2.9272,0.0108021
211,0.125,1000822080,17.257,0.055936,8.65518,0.0495978,3.20684,0.182544,8.99811,0.0956505,12.9745,0.00766748,3.59633,0.00319012,10.8525,0.0170451,3.00421,0.00744631
211,0.25,1000822080,20.4622,0.0559431,9.98311,0.0489334,9.56963,0.0740745,8.55893,0.0665367,14.6722,0.0103379,4.19374,0.00439634,12.9653,0.0224826,5.37473,0.0152654
211,0.5,1000822080,26.9889,0.075726,12.2269,0.0648101,21.1288,0.0625871,9.60657,0.0609012,18.0048,0.0183391,5.93592,0.0100388,18.3324,0.0264655,5.54653,0.0122448
-211,0.125,1000060120,-5.99829,0.12652,1.95221,0.0205805,-2.77069,0.375818,4.97246,0.105157,3.52092,0.00421091,1.14985,0.00283736,4.48665,0.0064681,1.06192,0.0041535
-211,0.25,1000060120,4.00904,0.0127108,1.26823,0.00736368,3.67063,0.0664154,3.57273,0.0398781,3.95372,0.00604121,1.13014,0.00355931,5.02844,0.01047,1.16847,0.00644877
-211,0.5,1000060120,4.61761,0.00917589,1.14029,0.00684872,5.91065,0.0815604,3.64649,0.0855845,4.31914,0.0126608,1.1955,0.00916398,3.537,0.300138,2.76652,0.244156
-211,0.125,1000260560,-1.44782,0.123535,1.12793,0.0161308,0.427852,0.211551,6.90278,0.0870978,7.03677,0.00577183,2.0258,0.00278056,6.81858,0.0116504,1.72997,0.00499535
-211,0.25,1000260560,6.61024,0.0305372,3.46028,0.0218638,6.45628,0.0693655,6.13563,0.0545994,7.69834,0.00850144,2.17905,0.0037586,7.84216,0.015428,3.16257,0.0110151
-211,0.5,1000260560,8.49644,0.0268109,3.76378,0.0241654,12.0874,0.0631444,6.89666,0.0649692,8.72881,0.0157351,2.75982,0.00936538,9.95714,0.0241642,4.11643,0.0168411
-211,0.125,1000822080,17.6089,0.0513373,8.33218,0.0468044,4.69169,0.124127,7.90703,0.0754724,13.4095,0.00784559,3.75059,0.00305919,11.0765,0.0177273,4.15731,0.0110359
-211,0.25,1000822080,20.9369,0.0512708,9.5636,0.0450694,10.2637,0.055112,7.57265,0.0573136,14.523,0.0108972,4.99994,0.00588294,14.5479,0.020406,4.92806,0.0131048
-211,0.5,1000822080,27.7643,0.0747922,11.432,0.0564587,19.4357,0.0574242,9.19344,0.056943,18.4146,0.0190991,6.02224,0.00986946,18.3762,0.02943,6.31009,0.0173954
